index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1700,Ryomen Sukuna,True Form / Full Power,17.02,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
1701,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Invincible,Post-Resurrections (Comics),36.02,0.0
1702,Yami Sukehiro,Death Thrust / Final War,27.18,Isaac Netero,Zero Hand Active,17.02,1.0
1703,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Killua Zoldyck,Godspeed,13.0,0.0
1704,Krillin,Super Hero Arc / Destructo Disc,97.0,Julius Novachrono,Wizard King Peak,19.94,0.0
1705,Gohan,Beast Form / Super Hero Arc,97.0,Thragg,Post-Timeskip (Comics),36.02,1.0
1706,Gohan,Beast Form / Super Hero Arc,97.0,Allen the Alien,Second Evolution (Comics),32.9,1.0
1707,Tomura Shigaraki,Post-Surgery / Complete,25.77,Star and Stripe,New Order Active,24.12,0.0
1708,Muzan,True Form,16.92,Hisoka Morow,Ryu and Ko,13.0,1.0
1709,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Hulk,Devil Hulk (Comics),94.5,0.0
1710,Ryomen Sukuna,True Form / Full Power,17.02,Might Guy,Eight Gates,33.3,0.0
1711,Ryomen Sukuna,True Form / Full Power,17.02,Supreme Deity,Full Power,51.38,0.0
1712,Asta,Perfect Devil Union / Zetten,31.33,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1713,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Star and Stripe,New Order Active,24.12,1.0
1714,Nanami Kento,Shibuya Incident Peak,12.12,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1715,All Might,Prime,27.18,Thor,Rune King Thor (Comics),99.25,0.0
1716,Itachi Uchiha,Edo Tensei,24.12,Ban,Post-Purgatory with Snatch,57.8,0.0
1717,Sasuke Uchiha,New Era / Susano'o,34.7,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1718,Satoru Gojo,Shinjuku Showdown Arc,17.02,Homelander,V1 (Comics),8.17,1.0
1719,Nanami Kento,Shibuya Incident Peak,12.12,Thragg,Post-Timeskip (Comics),36.02,0.0
1720,Nanami Kento,Shibuya Incident Peak,12.12,Asta,Perfect Devil Union / Zetten,31.33,0.0
1721,Naruto Uzumaki,Baryon Mode,51.38,Killua Zoldyck,Godspeed,13.0,1.0
1722,Sasuke Uchiha,New Era / Susano'o,34.7,Gon Freecss,Ryu and Ko,13.0,1.0
1723,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1724,All Might,Prime,27.18,Merlin,Infinity Active,57.8,0.0
1725,Chrollo Lucilfer,Skill Hunter Peak,13.0,Isaac Netero,Zero Hand Active,17.02,0.0
1726,Kurapika,Yorknew City Arc / Emperor Time,12.12,Meliodas,True Magic Form,57.8,0.0
1727,Naruto Uzumaki,Baryon Mode,51.38,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1728,Toji Fushiguro,Peak Form,15.12,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
1729,Hashirama Senju,Sage Mode / War Arc,29.59,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1730,Satoru Gojo,Shinjuku Showdown Arc,17.02,Julius Novachrono,Wizard King Peak,19.94,1.0
1731,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Thor,Rune King Thor (Comics),99.25,0.0
1732,Ryomen Sukuna,True Form / Full Power,17.02,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1733,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Julius Novachrono,Wizard King Peak,19.94,0.0
1734,Obito Uchiha,Jubi Jinchuriki,31.33,Meruem,Post-Rose / Great King,18.12,0.0
1735,Gon Freecss,Ryu and Ko,13.0,Hulk,Devil Hulk (Comics),94.5,0.0
1736,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Adult Gon,Adult Form,17.02,1.0
1737,Krillin,Super Hero Arc / Destructo Disc,97.0,Invincible,Post-Resurrections (Comics),36.02,1.0
1738,Star and Stripe,New Order Active,24.12,Diane,Post-Training / Gideon,51.38,0.0
1739,Nanami Kento,Shibuya Incident Peak,12.12,Zeldris,3rd Demon Mark,57.8,0.0
1740,Chrollo Lucilfer,Skill Hunter Peak,13.0,King,Full Wings / Form One,57.8,0.0
1741,Meliodas,True Magic Form,57.8,Chaos,Primordial Entity,96.0,0.0
1742,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Hisoka Morow,Ryu and Ko,13.0,1.0
1743,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Homelander,V1 (Comics),8.17,1.0
1744,Toji Fushiguro,Peak Form,15.12,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
1745,Hashirama Senju,Sage Mode / War Arc,29.59,Invincible,Post-Resurrections (Comics),36.02,0.0
1746,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Escanor,The One Ultimate,57.8,0.0
1747,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,0.0
1748,Thragg,Post-Timeskip (Comics),36.02,Omni-Man,Final Battle Peak (Comics),31.33,1.0
1749,Megumi Fushiguro,Mahoraga,15.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1750,Goku,MUI (Perfected Ultra Instinct),97.0,Isaac Netero,Zero Hand Active,17.02,1.0
1751,Asta,Perfect Devil Union / Zetten,31.33,Escanor,The One Ultimate,57.8,0.0
1752,King,Full Wings / Form One,57.8,Gowther,Emotions Restored,51.38,0.0
1753,Geto Suguru,Curse Manipulation / Adult,15.12,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,0.0
1754,Piccolo,Orange Form / Super Hero Arc,97.0,Supreme Deity,Full Power,51.38,0.0
1755,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1756,Megumi Fushiguro,Mahoraga,15.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1757,Mahito,True form,12.12,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1758,Invincible,Post-Resurrections (Comics),36.02,Thor,Rune King Thor (Comics),99.25,0.0
1759,Escanor,The One Ultimate,57.8,Hulk,Devil Hulk (Comics),94.5,0.0
1760,Feitan Portor,Pain Packer,13.0,Gowther,Emotions Restored,51.38,0.0
1761,Mahito,True form,12.12,Nanami Kento,Shibuya Incident Peak,12.12,1.0
1762,Escanor,The One Ultimate,57.8,Ban,Post-Purgatory with Snatch,57.8,1.0
1763,Might Guy,Eight Gates,33.3,Star and Stripe,New Order Active,24.12,1.0
1764,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Kurapika,Yorknew City Arc / Emperor Time,12.12,0.0
1765,Geto Suguru,Curse Manipulation / Adult,15.12,Gon Freecss,Ryu and Ko,13.0,0.0
1766,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1767,Tomura Shigaraki,Post-Surgery / Complete,25.77,Gowther,Emotions Restored,51.38,0.0
1768,Meliodas,True Magic Form,57.8,Homelander,V1 (Comics),8.17,1.0
1769,Goku,MUI (Perfected Ultra Instinct),97.0,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
1770,Geto Suguru,Curse Manipulation / Adult,15.12,Merlin,Infinity Active,57.8,0.0
1771,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Thor,Rune King Thor (Comics),99.25,0.0
1772,Geto Suguru,Curse Manipulation / Adult,15.12,Hulk,Devil Hulk (Comics),94.5,0.0
1773,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Diane,Post-Training / Gideon,51.38,0.0
1774,Julius Novachrono,Wizard King Peak,19.94,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1775,Satoru Gojo,Shinjuku Showdown Arc,17.02,Lucifero,True Form,27.18,1.0
1776,Nanami Kento,Shibuya Incident Peak,12.12,Escanor,The One Ultimate,57.8,0.0
1777,Obito Uchiha,Jubi Jinchuriki,31.33,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1778,Piccolo,Orange Form / Super Hero Arc,97.0,Thor,Rune King Thor (Comics),99.25,0.0
1779,Satoru Gojo,Shinjuku Showdown Arc,17.02,Meruem,Post-Rose / Great King,18.12,0.0
1780,Cell,Perfect Form,51.38,Hulk,Devil Hulk (Comics),94.5,1.0
1781,Tomura Shigaraki,Post-Surgery / Complete,25.77,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
1782,Might Guy,Eight Gates,33.3,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
1783,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Thragg,Post-Timeskip (Comics),36.02,0.0
1784,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Supreme Deity,Full Power,51.38,0.0
1785,Mahito,True form,12.12,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
1786,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Hulk,Devil Hulk (Comics),94.5,1.0
1787,Krillin,Super Hero Arc / Destructo Disc,97.0,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
1788,Naruto Uzumaki,Baryon Mode,51.38,Allen the Alien,Second Evolution (Comics),32.9,0.0
1789,Yami Sukehiro,Death Thrust / Final War,27.18,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1790,Nanami Kento,Shibuya Incident Peak,12.12,Julius Novachrono,Wizard King Peak,19.94,0.0
1791,All For One,Rewind Drug / Omni-Factor,24.12,Kurapika,Yorknew City Arc / Emperor Time,12.12,0.0
1792,Minato Namikaze,Edo Tensei,27.18,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1793,Ryomen Sukuna,True Form / Full Power,17.02,Feitan Portor,Pain Packer,13.0,1.0
1794,Hashirama Senju,Sage Mode / War Arc,29.59,Allen the Alien,Second Evolution (Comics),32.9,0.0
1795,All For One,Rewind Drug / Omni-Factor,24.12,Escanor,The One Ultimate,57.8,0.0
1796,Naruto Uzumaki,Baryon Mode,51.38,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,1.0
1797,Hashirama Senju,Sage Mode / War Arc,29.59,Escanor,The One Ultimate,57.8,0.0
1798,Piccolo,Orange Form / Super Hero Arc,97.0,Thragg,Post-Timeskip (Comics),36.02,1.0
1799,All Might,Prime,27.18,Omni-Man,Final Battle Peak (Comics),31.33,0.0
