index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1300,Minato Namikaze,Edo Tensei,27.18,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1301,Kurapika,Yorknew City Arc / Emperor Time,12.12,Hulk,Devil Hulk (Comics),94.5,0.0
1302,Hisoka Morow,Ryu and Ko,13.0,Invincible,Post-Resurrections (Comics),36.02,0.0
1303,Mahito,True form,12.12,Toji Fushiguro,Peak Form,15.12,1.0
1304,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Meliodas,True Magic Form,57.8,1.0
1305,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Homelander,V1 (Comics),8.17,1.0
1306,Hashirama Senju,Sage Mode / War Arc,29.59,All Might,Prime,27.18,1.0
1307,Minato Namikaze,Edo Tensei,27.18,King,Full Wings / Form One,57.8,0.0
1308,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Allen the Alien,Second Evolution (Comics),32.9,0.0
1309,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Ban,Post-Purgatory with Snatch,57.8,0.0
1310,Obito Uchiha,Jubi Jinchuriki,31.33,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
1311,Krillin,Super Hero Arc / Destructo Disc,97.0,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1312,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Feitan Portor,Pain Packer,13.0,1.0
1313,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Hashirama Senju,Sage Mode / War Arc,29.59,1.0
1314,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,All Might,Prime,27.18,1.0
1315,King,Full Wings / Form One,57.8,Allen the Alien,Second Evolution (Comics),32.9,0.0
1316,Ryomen Sukuna,True Form / Full Power,17.02,Meliodas,True Magic Form,57.8,0.0
1317,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
1318,Lucifero,True Form,27.18,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1319,King,Full Wings / Form One,57.8,Atom Eve,Second Resurrection (Comics),31.33,0.0
1320,Escanor,The One Ultimate,57.8,Allen the Alien,Second Evolution (Comics),32.9,0.0
1321,Ryomen Sukuna,True Form / Full Power,17.02,Mahito,True form,12.12,1.0
1322,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Gon Freecss,Ryu and Ko,13.0,1.0
1323,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Zeldris,3rd Demon Mark,57.8,0.0
1324,Satoru Gojo,Shinjuku Showdown Arc,17.02,Sasuke Uchiha,New Era / Susano'o,34.7,1.0
1325,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Chaos,Primordial Entity,96.0,0.0
1326,Gohan,Beast Form / Super Hero Arc,97.0,Escanor,The One Ultimate,57.8,0.0
1327,Gon Freecss,Ryu and Ko,13.0,Gowther,Emotions Restored,51.38,0.0
1328,Asta,Perfect Devil Union / Zetten,31.33,Thragg,Post-Timeskip (Comics),36.02,0.0
1329,Satoru Gojo,Shinjuku Showdown Arc,17.02,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
1330,Hashirama Senju,Sage Mode / War Arc,29.59,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1331,Might Guy,Eight Gates,33.3,Homelander,V1 (Comics),8.17,1.0
1332,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Lucifero,True Form,27.18,0.0
1333,Shoto Todoroki,Flashfreeze Heatwave,23.04,Killua Zoldyck,Godspeed,13.0,0.0
1334,Obito Uchiha,Jubi Jinchuriki,31.33,Diane,Post-Training / Gideon,51.38,1.0
1335,Tomura Shigaraki,Post-Surgery / Complete,25.77,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1336,Hisoka Morow,Ryu and Ko,13.0,Thragg,Post-Timeskip (Comics),36.02,0.0
1337,Satoru Gojo,Shinjuku Showdown Arc,17.02,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1338,Killua Zoldyck,Godspeed,13.0,Thor,Rune King Thor (Comics),99.25,0.0
1339,Geto Suguru,Curse Manipulation / Adult,15.12,Thragg,Post-Timeskip (Comics),36.02,0.0
1340,Geto Suguru,Curse Manipulation / Adult,15.12,Chaos,Primordial Entity,96.0,0.0
1341,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Thragg,Post-Timeskip (Comics),36.02,0.0
1342,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1343,Ban,Post-Purgatory with Snatch,57.8,King,Full Wings / Form One,57.8,0.0
1344,Asta,Perfect Devil Union / Zetten,31.33,Hulk,Devil Hulk (Comics),94.5,0.0
1345,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Lucifero,True Form,27.18,0.0
1346,Asta,Perfect Devil Union / Zetten,31.33,Isaac Netero,Zero Hand Active,17.02,1.0
1347,Cell,Perfect Form,51.38,Escanor,The One Ultimate,57.8,1.0
1348,Gon Freecss,Ryu and Ko,13.0,Kurapika,Yorknew City Arc / Emperor Time,12.12,0.0
1349,Hashirama Senju,Sage Mode / War Arc,29.59,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1350,Shoto Todoroki,Flashfreeze Heatwave,23.04,Atom Eve,Second Resurrection (Comics),31.33,0.0
1351,Goku,MUI (Perfected Ultra Instinct),97.0,Supreme Deity,Full Power,51.38,1.0
