index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
2200,Cell,Perfect Form,51.38,Invincible,Post-Resurrections (Comics),36.02,1.0
2201,Naruto Uzumaki,Baryon Mode,51.38,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
2202,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
2203,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Shoto Todoroki,Flashfreeze Heatwave,23.04,0.0
2204,Estarossa,Post-Commandment Absorption,51.38,Hulk,Devil Hulk (Comics),94.5,0.0
2205,Satoru Gojo,Shinjuku Showdown Arc,17.02,Cell,Perfect Form,51.38,0.0
2206,Itachi Uchiha,Edo Tensei,24.12,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
2207,Krillin,Super Hero Arc / Destructo Disc,97.0,Meliodas,True Magic Form,57.8,0.0
2208,Kurapika,Yorknew City Arc / Emperor Time,12.12,Merlin,Infinity Active,57.8,0.0
2209,All For One,Rewind Drug / Omni-Factor,24.12,Meruem,Post-Rose / Great King,18.12,0.0
2210,Obito Uchiha,Jubi Jinchuriki,31.33,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
2211,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Diane,Post-Training / Gideon,51.38,1.0
2212,Gohan,Beast Form / Super Hero Arc,97.0,Meruem,Post-Rose / Great King,18.12,0.0
2213,Muzan,True Form,16.92,Zeldris,3rd Demon Mark,57.8,0.0
2214,Goku,MUI (Perfected Ultra Instinct),97.0,Allen the Alien,Second Evolution (Comics),32.9,1.0
2215,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
2216,Cell,Perfect Form,51.38,Thragg,Post-Timeskip (Comics),36.02,0.0
2217,Itachi Uchiha,Edo Tensei,24.12,Killua Zoldyck,Godspeed,13.0,1.0
2218,Gon Freecss,Ryu and Ko,13.0,Isaac Netero,Zero Hand Active,17.02,0.0
2219,Kurapika,Yorknew City Arc / Emperor Time,12.12,Hisoka Morow,Ryu and Ko,13.0,1.0
2220,Gon Freecss,Ryu and Ko,13.0,Estarossa,Post-Commandment Absorption,51.38,0.0
2221,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Asta,Perfect Devil Union / Zetten,31.33,1.0
2222,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Chaos,Primordial Entity,96.0,1.0
2223,Ryomen Sukuna,True Form / Full Power,17.02,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
2224,Mahito,True form,12.12,Hulk,Devil Hulk (Comics),94.5,0.0
2225,Ryomen Sukuna,True Form / Full Power,17.02,Isaac Netero,Zero Hand Active,17.02,1.0
2226,Shoto Todoroki,Flashfreeze Heatwave,23.04,All For One,Rewind Drug / Omni-Factor,24.12,0.0
2227,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Chaos,Primordial Entity,96.0,0.0
2228,Satoru Gojo,Shinjuku Showdown Arc,17.02,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
2229,Sasuke Uchiha,New Era / Susano'o,34.7,Supreme Deity,Full Power,51.38,0.0
2230,Might Guy,Eight Gates,33.3,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
2231,Minato Namikaze,Edo Tensei,27.18,Estarossa,Post-Commandment Absorption,51.38,0.0
2232,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,King,Full Wings / Form One,57.8,0.0
2233,Minato Namikaze,Edo Tensei,27.18,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
2234,Julius Novachrono,Wizard King Peak,19.94,Escanor,The One Ultimate,57.8,0.0
2235,Mahito,True form,12.12,Meliodas,True Magic Form,57.8,0.0
2236,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Geto Suguru,Curse Manipulation / Adult,15.12,1.0
2237,Tomura Shigaraki,Post-Surgery / Complete,25.77,Invincible,Post-Resurrections (Comics),36.02,0.0
2238,Might Guy,Eight Gates,33.3,Cell,Perfect Form,51.38,0.0
2239,All For One,Rewind Drug / Omni-Factor,24.12,Zeldris,3rd Demon Mark,57.8,0.0
2240,Escanor,The One Ultimate,57.8,Merlin,Infinity Active,57.8,1.0
2241,Megumi Fushiguro,Mahoraga,15.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2242,All For One,Rewind Drug / Omni-Factor,24.12,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
2243,Mahito,True form,12.12,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2244,Satoru Gojo,Shinjuku Showdown Arc,17.02,Itachi Uchiha,Edo Tensei,24.12,1.0
2245,Obito Uchiha,Jubi Jinchuriki,31.33,Estarossa,Post-Commandment Absorption,51.38,1.0
2246,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Gowther,Emotions Restored,51.38,0.0
2247,Tomura Shigaraki,Post-Surgery / Complete,25.77,Homelander,V1 (Comics),8.17,1.0
2248,Merlin,Infinity Active,57.8,Hulk,Devil Hulk (Comics),94.5,1.0
2249,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Zeldris,3rd Demon Mark,57.8,0.0
2250,Toji Fushiguro,Peak Form,15.12,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
2251,Naruto Uzumaki,Baryon Mode,51.38,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2252,Shoto Todoroki,Flashfreeze Heatwave,23.04,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2253,Chrollo Lucilfer,Skill Hunter Peak,13.0,Meruem,Post-Rose / Great King,18.12,0.0
2254,Gon Freecss,Ryu and Ko,13.0,Chaos,Primordial Entity,96.0,0.0
2255,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Allen the Alien,Second Evolution (Comics),32.9,0.0
2256,Obito Uchiha,Jubi Jinchuriki,31.33,Atom Eve,Second Resurrection (Comics),31.33,0.0
2257,Adult Gon,Adult Form,17.02,Diane,Post-Training / Gideon,51.38,0.0
2258,Obito Uchiha,Jubi Jinchuriki,31.33,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
2259,Hisoka Morow,Ryu and Ko,13.0,Merlin,Infinity Active,57.8,0.0
2260,All For One,Rewind Drug / Omni-Factor,24.12,Merlin,Infinity Active,57.8,0.0
2261,Piccolo,Orange Form / Super Hero Arc,97.0,Gowther,Emotions Restored,51.38,1.0
2262,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Estarossa,Post-Commandment Absorption,51.38,1.0
2263,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Frieza,Black Frieza Form,97.0,0.0
2264,Gowther,Emotions Restored,51.38,Invincible,Post-Resurrections (Comics),36.02,1.0
2265,Julius Novachrono,Wizard King Peak,19.94,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
2266,Ryomen Sukuna,True Form / Full Power,17.02,Cell,Perfect Form,51.38,0.0
2267,Shoto Todoroki,Flashfreeze Heatwave,23.04,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2268,Killua Zoldyck,Godspeed,13.0,Feitan Portor,Pain Packer,13.0,1.0
2269,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Supreme Deity,Full Power,51.38,0.0
2270,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
2271,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Muzan,True Form,16.92,1.0
2272,Mahito,True form,12.12,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
2273,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
2274,Zeldris,3rd Demon Mark,57.8,Atom Eve,Second Resurrection (Comics),31.33,0.0
2275,All For One,Rewind Drug / Omni-Factor,24.12,King,Full Wings / Form One,57.8,0.0
2276,Shoto Todoroki,Flashfreeze Heatwave,23.04,Homelander,V1 (Comics),8.17,0.0
2277,Piccolo,Orange Form / Super Hero Arc,97.0,Krillin,Super Hero Arc / Destructo Disc,97.0,1.0
2278,Megumi Fushiguro,Mahoraga,15.12,Mahito,True form,12.12,0.0
2279,Estarossa,Post-Commandment Absorption,51.38,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2280,Satoru Gojo,Shinjuku Showdown Arc,17.02,Muzan,True Form,16.92,1.0
2281,Asta,Perfect Devil Union / Zetten,31.33,Chaos,Primordial Entity,96.0,0.0
2282,Ryomen Sukuna,True Form / Full Power,17.02,Hashirama Senju,Sage Mode / War Arc,29.59,1.0
2283,Nanami Kento,Shibuya Incident Peak,12.12,Merlin,Infinity Active,57.8,0.0
2284,Might Guy,Eight Gates,33.3,All For One,Rewind Drug / Omni-Factor,24.12,1.0
2285,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Feitan Portor,Pain Packer,13.0,1.0
2286,Minato Namikaze,Edo Tensei,27.18,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
2287,Muzan,True Form,16.92,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
2288,Muzan,True Form,16.92,Atom Eve,Second Resurrection (Comics),31.33,0.0
2289,Toji Fushiguro,Peak Form,15.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
2290,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Killua Zoldyck,Godspeed,13.0,1.0
2291,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
2292,Meliodas,True Magic Form,57.8,Hulk,Devil Hulk (Comics),94.5,0.0
2293,Feitan Portor,Pain Packer,13.0,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2294,Might Guy,Eight Gates,33.3,Diane,Post-Training / Gideon,51.38,0.0
2295,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
2296,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Supreme Deity,Full Power,51.38,0.0
2297,Gohan,Beast Form / Super Hero Arc,97.0,King,Full Wings / Form One,57.8,1.0
2298,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Star and Stripe,New Order Active,24.12,1.0
2299,Muzan,True Form,16.92,Meliodas,True Magic Form,57.8,0.0
