index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
700,Ryomen Sukuna,True Form / Full Power,17.02,Zeldris,3rd Demon Mark,57.8,0.0
701,Muzan,True Form,16.92,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
702,Ryomen Sukuna,True Form / Full Power,17.02,Naruto Uzumaki,Baryon Mode,51.38,0.0
703,Itachi Uchiha,Edo Tensei,24.12,Battle Beast,Final Battle Peak (Comics),36.02,0.0
704,Isaac Netero,Zero Hand Active,17.02,Diane,Post-Training / Gideon,51.38,0.0
705,Allen the Alien,Second Evolution (Comics),32.9,Thor,Rune King Thor (Comics),99.25,0.0
706,Lucifero,True Form,27.18,Invincible,Post-Resurrections (Comics),36.02,0.0
707,Goku,MUI (Perfected Ultra Instinct),97.0,Zeldris,3rd Demon Mark,57.8,1.0
708,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
709,Zeldris,3rd Demon Mark,57.8,Hulk,Devil Hulk (Comics),94.5,0.0
710,Chaos,Primordial Entity,96.0,Thragg,Post-Timeskip (Comics),36.02,1.0
711,Minato Namikaze,Edo Tensei,27.18,Lucifero,True Form,27.18,0.0
712,Julius Novachrono,Wizard King Peak,19.94,Gon Freecss,Ryu and Ko,13.0,1.0
713,Tomura Shigaraki,Post-Surgery / Complete,25.77,Adult Gon,Adult Form,17.02,0.0
714,Geto Suguru,Curse Manipulation / Adult,15.12,Adult Gon,Adult Form,17.02,1.0
715,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Invincible,Post-Resurrections (Comics),36.02,1.0
716,Piccolo,Orange Form / Super Hero Arc,97.0,King,Full Wings / Form One,57.8,1.0
717,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,All Might,Prime,27.18,1.0
718,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Chaos,Primordial Entity,96.0,0.0
719,Muzan,True Form,16.92,All Might,Prime,27.18,1.0
720,Nanami Kento,Shibuya Incident Peak,12.12,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
721,Star and Stripe,New Order Active,24.12,Lucifero,True Form,27.18,0.0
722,Lucifero,True Form,27.18,Homelander,V1 (Comics),8.17,1.0
723,Geto Suguru,Curse Manipulation / Adult,15.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
724,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Chaos,Primordial Entity,96.0,0.0
725,Tomura Shigaraki,Post-Surgery / Complete,25.77,Meruem,Post-Rose / Great King,18.12,0.0
726,Escanor,The One Ultimate,57.8,Gowther,Emotions Restored,51.38,1.0
727,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Meliodas,True Magic Form,57.8,1.0
728,Killua Zoldyck,Godspeed,13.0,Hulk,Devil Hulk (Comics),94.5,0.0
729,Muzan,True Form,16.92,Minato Namikaze,Edo Tensei,27.18,0.0
730,Toji Fushiguro,Peak Form,15.12,Feitan Portor,Pain Packer,13.0,0.0
731,Frieza,Black Frieza Form,97.0,Merlin,Infinity Active,57.8,1.0
732,Battle Beast,Final Battle Peak (Comics),36.02,Hulk,Devil Hulk (Comics),94.5,1.0
733,Krillin,Super Hero Arc / Destructo Disc,97.0,Cell,Perfect Form,51.38,0.0
734,Adult Gon,Adult Form,17.02,Isaac Netero,Zero Hand Active,17.02,0.0
735,Shoto Todoroki,Flashfreeze Heatwave,23.04,Chaos,Primordial Entity,96.0,0.0
736,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Chaos,Primordial Entity,96.0,1.0
737,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Zeldris,3rd Demon Mark,57.8,1.0
738,Goku,MUI (Perfected Ultra Instinct),97.0,Killua Zoldyck,Godspeed,13.0,1.0
739,Might Guy,Eight Gates,33.3,Tomura Shigaraki,Post-Surgery / Complete,25.77,1.0
740,Julius Novachrono,Wizard King Peak,19.94,Gowther,Emotions Restored,51.38,0.0
741,Naruto Uzumaki,Baryon Mode,51.38,Thor,Rune King Thor (Comics),99.25,0.0
742,Julius Novachrono,Wizard King Peak,19.94,Merlin,Infinity Active,57.8,0.0
743,Tomura Shigaraki,Post-Surgery / Complete,25.77,Isaac Netero,Zero Hand Active,17.02,1.0
744,Tomura Shigaraki,Post-Surgery / Complete,25.77,Gohan,Beast Form / Super Hero Arc,97.0,0.0
745,Ryomen Sukuna,True Form / Full Power,17.02,Homelander,V1 (Comics),8.17,1.0
746,Nanami Kento,Shibuya Incident Peak,12.12,Gohan,Beast Form / Super Hero Arc,97.0,0.0
747,Nanami Kento,Shibuya Incident Peak,12.12,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
