index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1800,Star and Stripe,New Order Active,24.12,Supreme Deity,Full Power,51.38,0.0
1801,Megumi Fushiguro,Mahoraga,15.12,Sasuke Uchiha,New Era / Susano'o,34.7,0.0
1802,Isaac Netero,Zero Hand Active,17.02,Merlin,Infinity Active,57.8,0.0
1803,Satoru Gojo,Shinjuku Showdown Arc,17.02,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
1804,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,All For One,Rewind Drug / Omni-Factor,24.12,0.0
1805,Naruto Uzumaki,Baryon Mode,51.38,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1806,Mahito,True form,12.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
1807,All Might,Prime,27.18,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1808,Asta,Perfect Devil Union / Zetten,31.33,Lucifero,True Form,27.18,0.0
1809,Naruto Uzumaki,Baryon Mode,51.38,Homelander,V1 (Comics),8.17,1.0
1810,Star and Stripe,New Order Active,24.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1811,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1812,Julius Novachrono,Wizard King Peak,19.94,Homelander,V1 (Comics),8.17,1.0
1813,Minato Namikaze,Edo Tensei,27.18,Tomura Shigaraki,Post-Surgery / Complete,25.77,1.0
1814,Thor,Rune King Thor (Comics),99.25,Homelander,V1 (Comics),8.17,1.0
1815,Ryomen Sukuna,True Form / Full Power,17.02,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1816,Muzan,True Form,16.92,All For One,Rewind Drug / Omni-Factor,24.12,0.0
1817,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Meliodas,True Magic Form,57.8,0.0
1818,Nanami Kento,Shibuya Incident Peak,12.12,Gon Freecss,Ryu and Ko,13.0,1.0
1819,Gohan,Beast Form / Super Hero Arc,97.0,Hisoka Morow,Ryu and Ko,13.0,1.0
1820,Geto Suguru,Curse Manipulation / Adult,15.12,Naruto Uzumaki,Baryon Mode,51.38,0.0
1821,Nanami Kento,Shibuya Incident Peak,12.12,Adult Gon,Adult Form,17.02,0.0
1822,Muzan,True Form,16.92,Gowther,Emotions Restored,51.38,0.0
1823,Ryomen Sukuna,True Form / Full Power,17.02,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1824,Gowther,Emotions Restored,51.38,Estarossa,Post-Commandment Absorption,51.38,0.0
1825,Might Guy,Eight Gates,33.3,Zeldris,3rd Demon Mark,57.8,0.0
1826,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Meruem,Post-Rose / Great King,18.12,0.0
1827,Escanor,The One Ultimate,57.8,Thragg,Post-Timeskip (Comics),36.02,1.0
1828,Gowther,Emotions Restored,51.38,Homelander,V1 (Comics),8.17,1.0
1829,Yami Sukehiro,Death Thrust / Final War,27.18,Estarossa,Post-Commandment Absorption,51.38,1.0
1830,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1831,Satoru Gojo,Shinjuku Showdown Arc,17.02,Hisoka Morow,Ryu and Ko,13.0,1.0
1832,Naruto Uzumaki,Baryon Mode,51.38,Estarossa,Post-Commandment Absorption,51.38,1.0
1833,Cell,Perfect Form,51.38,Killua Zoldyck,Godspeed,13.0,1.0
1834,Obito Uchiha,Jubi Jinchuriki,31.33,Allen the Alien,Second Evolution (Comics),32.9,0.0
1835,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Meliodas,True Magic Form,57.8,0.0
1836,Killua Zoldyck,Godspeed,13.0,Atom Eve,Second Resurrection (Comics),31.33,0.0
1837,Geto Suguru,Curse Manipulation / Adult,15.12,Allen the Alien,Second Evolution (Comics),32.9,0.0
1838,Asta,Perfect Devil Union / Zetten,31.33,Invincible,Post-Resurrections (Comics),36.02,0.0
1839,Diane,Post-Training / Gideon,51.38,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1840,Muzan,True Form,16.92,Naruto Uzumaki,Baryon Mode,51.38,0.0
1841,King,Full Wings / Form One,57.8,Hulk,Devil Hulk (Comics),94.5,0.0
1842,Lucifero,True Form,27.18,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1843,Diane,Post-Training / Gideon,51.38,Homelander,V1 (Comics),8.17,0.0
1844,Killua Zoldyck,Godspeed,13.0,Hisoka Morow,Ryu and Ko,13.0,1.0
1845,Cell,Perfect Form,51.38,Feitan Portor,Pain Packer,13.0,1.0
1846,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,All Might,Prime,27.18,0.0
1847,Lucifero,True Form,27.18,Diane,Post-Training / Gideon,51.38,1.0
1848,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Itachi Uchiha,Edo Tensei,24.12,1.0
1849,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1850,Ryomen Sukuna,True Form / Full Power,17.02,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1851,Kurapika,Yorknew City Arc / Emperor Time,12.12,Ban,Post-Purgatory with Snatch,57.8,0.0
1852,Geto Suguru,Curse Manipulation / Adult,15.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1853,Geto Suguru,Curse Manipulation / Adult,15.12,Lucifero,True Form,27.18,0.0
1854,Megumi Fushiguro,Mahoraga,15.12,Thor,Rune King Thor (Comics),99.25,0.0
1855,Chaos,Primordial Entity,96.0,Hulk,Devil Hulk (Comics),94.5,0.0
1856,Itachi Uchiha,Edo Tensei,24.12,Lucifero,True Form,27.18,0.0
1857,Muzan,True Form,16.92,Gon Freecss,Ryu and Ko,13.0,0.0
1858,Toji Fushiguro,Peak Form,15.12,Nanami Kento,Shibuya Incident Peak,12.12,1.0
1859,Julius Novachrono,Wizard King Peak,19.94,Thor,Rune King Thor (Comics),99.25,0.0
1860,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1861,All For One,Rewind Drug / Omni-Factor,24.12,Julius Novachrono,Wizard King Peak,19.94,0.0
1862,Satoru Gojo,Shinjuku Showdown Arc,17.02,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
1863,Frieza,Black Frieza Form,97.0,Asta,Perfect Devil Union / Zetten,31.33,1.0
1864,Itachi Uchiha,Edo Tensei,24.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1865,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Estarossa,Post-Commandment Absorption,51.38,0.0
1866,Nanami Kento,Shibuya Incident Peak,12.12,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1867,Lucifero,True Form,27.18,Feitan Portor,Pain Packer,13.0,1.0
1868,Star and Stripe,New Order Active,24.12,Gon Freecss,Ryu and Ko,13.0,1.0
1869,Megumi Fushiguro,Mahoraga,15.12,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1870,Hashirama Senju,Sage Mode / War Arc,29.59,Frieza,Black Frieza Form,97.0,0.0
1871,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Might Guy,Eight Gates,33.3,1.0
1872,Isaac Netero,Zero Hand Active,17.02,Atom Eve,Second Resurrection (Comics),31.33,0.0
1873,Julius Novachrono,Wizard King Peak,19.94,Atom Eve,Second Resurrection (Comics),31.33,0.0
1874,Ban,Post-Purgatory with Snatch,57.8,Homelander,V1 (Comics),8.17,1.0
1875,Megumi Fushiguro,Mahoraga,15.12,Cell,Perfect Form,51.38,0.0
1876,Obito Uchiha,Jubi Jinchuriki,31.33,Hulk,Devil Hulk (Comics),94.5,1.0
1877,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Krillin,Super Hero Arc / Destructo Disc,97.0,1.0
1878,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Omni-Man,Final Battle Peak (Comics),31.33,1.0
1879,Meruem,Post-Rose / Great King,18.12,King,Full Wings / Form One,57.8,1.0
1880,Star and Stripe,New Order Active,24.12,Merlin,Infinity Active,57.8,0.0
1881,Muzan,True Form,16.92,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1882,All For One,Rewind Drug / Omni-Factor,24.12,Hisoka Morow,Ryu and Ko,13.0,1.0
1883,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Might Guy,Eight Gates,33.3,1.0
1884,All For One,Rewind Drug / Omni-Factor,24.12,Isaac Netero,Zero Hand Active,17.02,0.0
1885,Frieza,Black Frieza Form,97.0,Meruem,Post-Rose / Great King,18.12,1.0
1886,Merlin,Infinity Active,57.8,Allen the Alien,Second Evolution (Comics),32.9,0.0
1887,All Might,Prime,27.18,Gon Freecss,Ryu and Ko,13.0,1.0
1888,Cell,Perfect Form,51.38,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1889,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Thragg,Post-Timeskip (Comics),36.02,0.0
1890,Satoru Gojo,Shinjuku Showdown Arc,17.02,Ban,Post-Purgatory with Snatch,57.8,1.0
1891,Hisoka Morow,Ryu and Ko,13.0,Gowther,Emotions Restored,51.38,0.0
1892,Sasuke Uchiha,New Era / Susano'o,34.7,Zeldris,3rd Demon Mark,57.8,1.0
1893,All Might,Prime,27.18,Atom Eve,Second Resurrection (Comics),31.33,0.0
1894,Julius Novachrono,Wizard King Peak,19.94,Ban,Post-Purgatory with Snatch,57.8,0.0
1895,Obito Uchiha,Jubi Jinchuriki,31.33,Thragg,Post-Timeskip (Comics),36.02,0.0
1896,Frieza,Black Frieza Form,97.0,Thor,Rune King Thor (Comics),99.25,0.0
1897,Nanami Kento,Shibuya Incident Peak,12.12,Sasuke Uchiha,New Era / Susano'o,34.7,0.0
1898,Obito Uchiha,Jubi Jinchuriki,31.33,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1899,Nanami Kento,Shibuya Incident Peak,12.12,Invincible,Post-Resurrections (Comics),36.02,0.0
