index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1000,Shoto Todoroki,Flashfreeze Heatwave,23.04,Estarossa,Post-Commandment Absorption,51.38,0.0
1001,Mahito,True form,12.12,Hisoka Morow,Ryu and Ko,13.0,1.0
1002,Atom Eve,Second Resurrection (Comics),31.33,Homelander,V1 (Comics),8.17,1.0
1003,Krillin,Super Hero Arc / Destructo Disc,97.0,Estarossa,Post-Commandment Absorption,51.38,0.0
1004,Supreme Deity,Full Power,51.38,Homelander,V1 (Comics),8.17,1.0
1005,Atom Eve,Second Resurrection (Comics),31.33,Thor,Rune King Thor (Comics),99.25,0.0
1006,Gowther,Emotions Restored,51.38,Thragg,Post-Timeskip (Comics),36.02,0.0
1007,Muzan,True Form,16.92,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1008,Gohan,Beast Form / Super Hero Arc,97.0,Frieza,Black Frieza Form,97.0,0.0
1009,All Might,Prime,27.18,Killua Zoldyck,Godspeed,13.0,1.0
1010,Sasuke Uchiha,New Era / Susano'o,34.7,Asta,Perfect Devil Union / Zetten,31.33,0.0
1011,Muzan,True Form,16.92,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1012,Adult Gon,Adult Form,17.02,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1013,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Tomura Shigaraki,Post-Surgery / Complete,25.77,1.0
1014,Minato Namikaze,Edo Tensei,27.18,Escanor,The One Ultimate,57.8,0.0
1015,Tomura Shigaraki,Post-Surgery / Complete,25.77,Merlin,Infinity Active,57.8,0.0
1016,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Feitan Portor,Pain Packer,13.0,1.0
1017,Mahito,True form,12.12,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
1018,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1019,Megumi Fushiguro,Mahoraga,15.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
1020,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1021,Toji Fushiguro,Peak Form,15.12,Supreme Deity,Full Power,51.38,0.0
1022,Hashirama Senju,Sage Mode / War Arc,29.59,Julius Novachrono,Wizard King Peak,19.94,0.0
1023,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1024,Satoru Gojo,Shinjuku Showdown Arc,17.02,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
1025,Shoto Todoroki,Flashfreeze Heatwave,23.04,Allen the Alien,Second Evolution (Comics),32.9,0.0
1026,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Isaac Netero,Zero Hand Active,17.02,0.0
