index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1200,Chrollo Lucilfer,Skill Hunter Peak,13.0,Thor,Rune King Thor (Comics),99.25,0.0
1201,All For One,Rewind Drug / Omni-Factor,24.12,All Might,Prime,27.18,1.0
1202,Geto Suguru,Curse Manipulation / Adult,15.12,Cell,Perfect Form,51.38,0.0
1203,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Frieza,Black Frieza Form,97.0,0.0
1204,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Isaac Netero,Zero Hand Active,17.02,1.0
1205,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Minato Namikaze,Edo Tensei,27.18,0.0
1206,All Might,Prime,27.18,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1207,Frieza,Black Frieza Form,97.0,Julius Novachrono,Wizard King Peak,19.94,1.0
1208,Krillin,Super Hero Arc / Destructo Disc,97.0,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1209,Frieza,Black Frieza Form,97.0,Escanor,The One Ultimate,57.8,1.0
1210,Nanami Kento,Shibuya Incident Peak,12.12,Meliodas,True Magic Form,57.8,0.0
1211,Itachi Uchiha,Edo Tensei,24.12,Invincible,Post-Resurrections (Comics),36.02,0.0
1212,Itachi Uchiha,Edo Tensei,24.12,Thragg,Post-Timeskip (Comics),36.02,0.0
1213,Might Guy,Eight Gates,33.3,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1214,Hashirama Senju,Sage Mode / War Arc,29.59,Gowther,Emotions Restored,51.38,0.0
1215,Estarossa,Post-Commandment Absorption,51.38,Chaos,Primordial Entity,96.0,0.0
1216,Mahito,True form,12.12,Geto Suguru,Curse Manipulation / Adult,15.12,1.0
1217,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Homelander,V1 (Comics),8.17,1.0
1218,Shoto Todoroki,Flashfreeze Heatwave,23.04,Gon Freecss,Ryu and Ko,13.0,0.0
1219,Toji Fushiguro,Peak Form,15.12,Estarossa,Post-Commandment Absorption,51.38,0.0
1220,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
