index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
900,Piccolo,Orange Form / Super Hero Arc,97.0,Homelander,V1 (Comics),8.17,1.0
901,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Tomura Shigaraki,Post-Surgery / Complete,25.77,1.0
902,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Kurapika,Yorknew City Arc / Emperor Time,12.12,0.0
903,Tomura Shigaraki,Post-Surgery / Complete,25.77,Lucifero,True Form,27.18,0.0
904,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
905,Satoru Gojo,Shinjuku Showdown Arc,17.02,Asta,Perfect Devil Union / Zetten,31.33,0.0
906,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
907,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Nanami Kento,Shibuya Incident Peak,12.12,1.0
908,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Lucifero,True Form,27.18,0.0
909,Kurapika,Yorknew City Arc / Emperor Time,12.12,Battle Beast,Final Battle Peak (Comics),36.02,0.0
910,Chrollo Lucilfer,Skill Hunter Peak,13.0,Merlin,Infinity Active,57.8,0.0
911,Chrollo Lucilfer,Skill Hunter Peak,13.0,Supreme Deity,Full Power,51.38,0.0
912,Megumi Fushiguro,Mahoraga,15.12,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
913,Mahito,True form,12.12,All For One,Rewind Drug / Omni-Factor,24.12,0.0
914,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
915,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Estarossa,Post-Commandment Absorption,51.38,1.0
916,King,Full Wings / Form One,57.8,Chaos,Primordial Entity,96.0,0.0
917,Chrollo Lucilfer,Skill Hunter Peak,13.0,Battle Beast,Final Battle Peak (Comics),36.02,0.0
918,Hisoka Morow,Ryu and Ko,13.0,Diane,Post-Training / Gideon,51.38,0.0
919,Tomura Shigaraki,Post-Surgery / Complete,25.77,Hulk,Devil Hulk (Comics),94.5,0.0
920,Minato Namikaze,Edo Tensei,27.18,Killua Zoldyck,Godspeed,13.0,1.0
921,Piccolo,Orange Form / Super Hero Arc,97.0,Atom Eve,Second Resurrection (Comics),31.33,1.0
922,Mahito,True form,12.12,Estarossa,Post-Commandment Absorption,51.38,0.0
923,Killua Zoldyck,Godspeed,13.0,Meruem,Post-Rose / Great King,18.12,0.0
924,Star and Stripe,New Order Active,24.12,Gohan,Beast Form / Super Hero Arc,97.0,0.0
925,Chrollo Lucilfer,Skill Hunter Peak,13.0,Zeldris,3rd Demon Mark,57.8,0.0
926,Sasuke Uchiha,New Era / Susano'o,34.7,Feitan Portor,Pain Packer,13.0,1.0
927,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Cell,Perfect Form,51.38,0.0
928,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Meliodas,True Magic Form,57.8,0.0
929,Hashirama Senju,Sage Mode / War Arc,29.59,Merlin,Infinity Active,57.8,0.0
930,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Atom Eve,Second Resurrection (Comics),31.33,0.0
931,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Naruto Uzumaki,Baryon Mode,51.38,0.0
932,Zeldris,3rd Demon Mark,57.8,Homelander,V1 (Comics),8.17,1.0
933,Chrollo Lucilfer,Skill Hunter Peak,13.0,Ban,Post-Purgatory with Snatch,57.8,0.0
934,Nanami Kento,Shibuya Incident Peak,12.12,Frieza,Black Frieza Form,97.0,0.0
935,Muzan,True Form,16.92,Diane,Post-Training / Gideon,51.38,0.0
936,Nanami Kento,Shibuya Incident Peak,12.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
937,All For One,Rewind Drug / Omni-Factor,24.12,Cell,Perfect Form,51.38,0.0
938,Toji Fushiguro,Peak Form,15.12,Julius Novachrono,Wizard King Peak,19.94,0.0
939,Yami Sukehiro,Death Thrust / Final War,27.18,Meliodas,True Magic Form,57.8,0.0
940,Krillin,Super Hero Arc / Destructo Disc,97.0,Merlin,Infinity Active,57.8,0.0
941,Merlin,Infinity Active,57.8,Battle Beast,Final Battle Peak (Comics),36.02,0.0
942,Feitan Portor,Pain Packer,13.0,King,Full Wings / Form One,57.8,0.0
943,Obito Uchiha,Jubi Jinchuriki,31.33,Invincible,Post-Resurrections (Comics),36.02,0.0
944,Shoto Todoroki,Flashfreeze Heatwave,23.04,King,Full Wings / Form One,57.8,0.0
945,Ryomen Sukuna,True Form / Full Power,17.02,Tomura Shigaraki,Post-Surgery / Complete,25.77,1.0
946,Mahito,True form,12.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
947,King,Full Wings / Form One,57.8,Supreme Deity,Full Power,51.38,0.0
948,Yami Sukehiro,Death Thrust / Final War,27.18,Hulk,Devil Hulk (Comics),94.5,0.0
949,Yami Sukehiro,Death Thrust / Final War,27.18,King,Full Wings / Form One,57.8,1.0
950,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Ban,Post-Purgatory with Snatch,57.8,0.0
951,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
952,Minato Namikaze,Edo Tensei,27.18,All For One,Rewind Drug / Omni-Factor,24.12,1.0
953,Piccolo,Orange Form / Super Hero Arc,97.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
954,Frieza,Black Frieza Form,97.0,Supreme Deity,Full Power,51.38,1.0
955,Might Guy,Eight Gates,33.3,Julius Novachrono,Wizard King Peak,19.94,0.0
956,Yami Sukehiro,Death Thrust / Final War,27.18,Atom Eve,Second Resurrection (Comics),31.33,0.0
957,Lucifero,True Form,27.18,Chaos,Primordial Entity,96.0,0.0
958,Krillin,Super Hero Arc / Destructo Disc,97.0,Escanor,The One Ultimate,57.8,0.0
959,Diane,Post-Training / Gideon,51.38,Atom Eve,Second Resurrection (Comics),31.33,0.0
960,Adult Gon,Adult Form,17.02,Merlin,Infinity Active,57.8,0.0
961,Might Guy,Eight Gates,33.3,Hisoka Morow,Ryu and Ko,13.0,1.0
962,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Homelander,V1 (Comics),8.17,1.0
963,Nanami Kento,Shibuya Incident Peak,12.12,All For One,Rewind Drug / Omni-Factor,24.12,0.0
964,Battle Beast,Final Battle Peak (Comics),36.02,Atom Eve,Second Resurrection (Comics),31.33,0.0
965,Toji Fushiguro,Peak Form,15.12,Zeldris,3rd Demon Mark,57.8,0.0
966,Feitan Portor,Pain Packer,13.0,Escanor,The One Ultimate,57.8,0.0
967,Satoru Gojo,Shinjuku Showdown Arc,17.02,Invincible,Post-Resurrections (Comics),36.02,0.0
968,Might Guy,Eight Gates,33.3,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
969,Kurapika,Yorknew City Arc / Emperor Time,12.12,Invincible,Post-Resurrections (Comics),36.02,0.0
970,All Might,Prime,27.18,Ban,Post-Purgatory with Snatch,57.8,0.0
971,Satoru Gojo,Shinjuku Showdown Arc,17.02,Zeldris,3rd Demon Mark,57.8,1.0
972,Obito Uchiha,Jubi Jinchuriki,31.33,Escanor,The One Ultimate,57.8,1.0
973,Meliodas,True Magic Form,57.8,Thragg,Post-Timeskip (Comics),36.02,0.0
974,Shoto Todoroki,Flashfreeze Heatwave,23.04,Thor,Rune King Thor (Comics),99.25,0.0
975,Minato Namikaze,Edo Tensei,27.18,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
976,Goku,MUI (Perfected Ultra Instinct),97.0,Omni-Man,Final Battle Peak (Comics),31.33,1.0
977,Tomura Shigaraki,Post-Surgery / Complete,25.77,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
978,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Hisoka Morow,Ryu and Ko,13.0,1.0
979,Minato Namikaze,Edo Tensei,27.18,Meruem,Post-Rose / Great King,18.12,0.0
980,Feitan Portor,Pain Packer,13.0,Invincible,Post-Resurrections (Comics),36.02,0.0
981,Might Guy,Eight Gates,33.3,Killua Zoldyck,Godspeed,13.0,1.0
982,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
983,Krillin,Super Hero Arc / Destructo Disc,97.0,Lucifero,True Form,27.18,0.0
984,Mahito,True form,12.12,Isaac Netero,Zero Hand Active,17.02,0.0
