index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
2100,Ban,Post-Purgatory with Snatch,57.8,Thor,Rune King Thor (Comics),99.25,0.0
2101,Krillin,Super Hero Arc / Destructo Disc,97.0,Thragg,Post-Timeskip (Comics),36.02,0.0
2102,Nanami Kento,Shibuya Incident Peak,12.12,Killua Zoldyck,Godspeed,13.0,1.0
2103,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Escanor,The One Ultimate,57.8,1.0
2104,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
2105,Muzan,True Form,16.92,Thor,Rune King Thor (Comics),99.25,0.0
2106,Gon Freecss,Ryu and Ko,13.0,Ban,Post-Purgatory with Snatch,57.8,0.0
2107,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Megumi Fushiguro,Mahoraga,15.12,1.0
2108,Ban,Post-Purgatory with Snatch,57.8,Thragg,Post-Timeskip (Comics),36.02,0.0
2109,All Might,Prime,27.18,Feitan Portor,Pain Packer,13.0,0.0
2110,Gohan,Beast Form / Super Hero Arc,97.0,Adult Gon,Adult Form,17.02,1.0
2111,All Might,Prime,27.18,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2112,Megumi Fushiguro,Mahoraga,15.12,Allen the Alien,Second Evolution (Comics),32.9,0.0
2113,Mahito,True form,12.12,Star and Stripe,New Order Active,24.12,0.0
2114,Battle Beast,Final Battle Peak (Comics),36.02,Homelander,V1 (Comics),8.17,1.0
2115,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Merlin,Infinity Active,57.8,0.0
2116,Estarossa,Post-Commandment Absorption,51.38,Zeldris,3rd Demon Mark,57.8,0.0
2117,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Thor,Rune King Thor (Comics),99.25,0.0
2118,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Supreme Deity,Full Power,51.38,0.0
2119,Battle Beast,Final Battle Peak (Comics),36.02,Allen the Alien,Second Evolution (Comics),32.9,0.0
2120,Gohan,Beast Form / Super Hero Arc,97.0,Asta,Perfect Devil Union / Zetten,31.33,1.0
2121,Diane,Post-Training / Gideon,51.38,Hulk,Devil Hulk (Comics),94.5,0.0
2122,Ban,Post-Purgatory with Snatch,57.8,Gowther,Emotions Restored,51.38,1.0
2123,Cell,Perfect Form,51.38,Atom Eve,Second Resurrection (Comics),31.33,1.0
2124,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Frieza,Black Frieza Form,97.0,0.0
2125,Tomura Shigaraki,Post-Surgery / Complete,25.77,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
2126,King,Full Wings / Form One,57.8,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2127,Tomura Shigaraki,Post-Surgery / Complete,25.77,Feitan Portor,Pain Packer,13.0,1.0
2128,Diane,Post-Training / Gideon,51.38,Chaos,Primordial Entity,96.0,0.0
2129,Frieza,Black Frieza Form,97.0,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
2130,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Zeldris,3rd Demon Mark,57.8,0.0
2131,All For One,Rewind Drug / Omni-Factor,24.12,Meliodas,True Magic Form,57.8,0.0
2132,Escanor,The One Ultimate,57.8,Chaos,Primordial Entity,96.0,0.0
2133,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,King,Full Wings / Form One,57.8,0.0
2134,Might Guy,Eight Gates,33.3,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
2135,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Invincible,Post-Resurrections (Comics),36.02,0.0
2136,Isaac Netero,Zero Hand Active,17.02,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2137,Might Guy,Eight Gates,33.3,Thor,Rune King Thor (Comics),99.25,0.0
2138,Lucifero,True Form,27.18,Hulk,Devil Hulk (Comics),94.5,0.0
2139,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Gowther,Emotions Restored,51.38,0.0
2140,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
2141,Sasuke Uchiha,New Era / Susano'o,34.7,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
2142,Sasuke Uchiha,New Era / Susano'o,34.7,Adult Gon,Adult Form,17.02,1.0
2143,Mahito,True form,12.12,Meruem,Post-Rose / Great King,18.12,0.0
2144,Kurapika,Yorknew City Arc / Emperor Time,12.12,Feitan Portor,Pain Packer,13.0,1.0
2145,Julius Novachrono,Wizard King Peak,19.94,Chaos,Primordial Entity,96.0,0.0
2146,Muzan,True Form,16.92,Feitan Portor,Pain Packer,13.0,0.0
2147,Krillin,Super Hero Arc / Destructo Disc,97.0,Adult Gon,Adult Form,17.02,1.0
2148,Frieza,Black Frieza Form,97.0,Gowther,Emotions Restored,51.38,1.0
2149,Adult Gon,Adult Form,17.02,Allen the Alien,Second Evolution (Comics),32.9,0.0
2150,Gohan,Beast Form / Super Hero Arc,97.0,Killua Zoldyck,Godspeed,13.0,1.0
2151,Julius Novachrono,Wizard King Peak,19.94,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2152,Krillin,Super Hero Arc / Destructo Disc,97.0,Feitan Portor,Pain Packer,13.0,1.0
