index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1500,Hisoka Morow,Ryu and Ko,13.0,Ban,Post-Purgatory with Snatch,57.8,0.0
1501,Hashirama Senju,Sage Mode / War Arc,29.59,Minato Namikaze,Edo Tensei,27.18,1.0
1502,Asta,Perfect Devil Union / Zetten,31.33,Gon Freecss,Ryu and Ko,13.0,1.0
1503,Itachi Uchiha,Edo Tensei,24.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1504,Naruto Uzumaki,Baryon Mode,51.38,Gowther,Emotions Restored,51.38,0.0
1505,Goku,MUI (Perfected Ultra Instinct),97.0,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1506,Geto Suguru,Curse Manipulation / Adult,15.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
1507,Star and Stripe,New Order Active,24.12,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1508,Diane,Post-Training / Gideon,51.38,Allen the Alien,Second Evolution (Comics),32.9,0.0
1509,Nanami Kento,Shibuya Incident Peak,12.12,Itachi Uchiha,Edo Tensei,24.12,0.0
1510,Satoru Gojo,Shinjuku Showdown Arc,17.02,Hashirama Senju,Sage Mode / War Arc,29.59,1.0
1511,Shoto Todoroki,Flashfreeze Heatwave,23.04,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
1512,Escanor,The One Ultimate,57.8,Thor,Rune King Thor (Comics),99.25,0.0
1513,Toji Fushiguro,Peak Form,15.12,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1514,Thragg,Post-Timeskip (Comics),36.02,Atom Eve,Second Resurrection (Comics),31.33,1.0
1515,Minato Namikaze,Edo Tensei,27.18,Supreme Deity,Full Power,51.38,0.0
1516,Megumi Fushiguro,Mahoraga,15.12,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
1517,Itachi Uchiha,Edo Tensei,24.12,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
1518,Yami Sukehiro,Death Thrust / Final War,27.18,Gowther,Emotions Restored,51.38,1.0
1519,Gon Freecss,Ryu and Ko,13.0,Diane,Post-Training / Gideon,51.38,0.0
1520,Satoru Gojo,Shinjuku Showdown Arc,17.02,Mahito,True form,12.12,1.0
1521,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Invincible,Post-Resurrections (Comics),36.02,0.0
1522,Itachi Uchiha,Edo Tensei,24.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1523,Ban,Post-Purgatory with Snatch,57.8,Diane,Post-Training / Gideon,51.38,1.0
1524,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
1525,Adult Gon,Adult Form,17.02,Hulk,Devil Hulk (Comics),94.5,0.0
1526,Geto Suguru,Curse Manipulation / Adult,15.12,Sasuke Uchiha,New Era / Susano'o,34.7,0.0
1527,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Gowther,Emotions Restored,51.38,1.0
1528,Megumi Fushiguro,Mahoraga,15.12,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
1529,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1530,Tomura Shigaraki,Post-Surgery / Complete,25.77,All Might,Prime,27.18,1.0
1531,Shoto Todoroki,Flashfreeze Heatwave,23.04,Hisoka Morow,Ryu and Ko,13.0,0.0
1532,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Homelander,V1 (Comics),8.17,0.0
1533,Satoru Gojo,Shinjuku Showdown Arc,17.02,Toji Fushiguro,Peak Form,15.12,1.0
1534,King,Full Wings / Form One,57.8,Zeldris,3rd Demon Mark,57.8,0.0
1535,Omni-Man,Final Battle Peak (Comics),31.33,Invincible,Post-Resurrections (Comics),36.02,0.0
1536,Chrollo Lucilfer,Skill Hunter Peak,13.0,Thragg,Post-Timeskip (Comics),36.02,0.0
1537,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Invincible,Post-Resurrections (Comics),36.02,1.0
1538,Might Guy,Eight Gates,33.3,Hulk,Devil Hulk (Comics),94.5,0.0
1539,Piccolo,Orange Form / Super Hero Arc,97.0,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1540,Geto Suguru,Curse Manipulation / Adult,15.12,Hisoka Morow,Ryu and Ko,13.0,1.0
1541,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1542,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Feitan Portor,Pain Packer,13.0,1.0
1543,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,King,Full Wings / Form One,57.8,0.0
1544,Zeldris,3rd Demon Mark,57.8,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1545,Chrollo Lucilfer,Skill Hunter Peak,13.0,Gowther,Emotions Restored,51.38,0.0
1546,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1547,Nanami Kento,Shibuya Incident Peak,12.12,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1548,Gowther,Emotions Restored,51.38,Supreme Deity,Full Power,51.38,0.0
1549,Ryomen Sukuna,True Form / Full Power,17.02,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1550,Adult Gon,Adult Form,17.02,Meliodas,True Magic Form,57.8,0.0
1551,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Frieza,Black Frieza Form,97.0,0.0
1552,Meruem,Post-Rose / Great King,18.12,Hulk,Devil Hulk (Comics),94.5,0.0
1553,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
