index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
300,Omni-Man,Final Battle Peak (Comics),31.33,Hulk,Devil Hulk (Comics),94.5,0.0
301,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
302,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Lucifero,True Form,27.18,0.0
303,Obito Uchiha,Jubi Jinchuriki,31.33,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
304,Geto Suguru,Curse Manipulation / Adult,15.12,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
305,Gowther,Emotions Restored,51.38,Thor,Rune King Thor (Comics),99.25,0.0
306,Nanami Kento,Shibuya Incident Peak,12.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
307,Naruto Uzumaki,Baryon Mode,51.38,Diane,Post-Training / Gideon,51.38,1.0
308,Megumi Fushiguro,Mahoraga,15.12,Gohan,Beast Form / Super Hero Arc,97.0,0.0
309,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
310,Megumi Fushiguro,Mahoraga,15.12,Feitan Portor,Pain Packer,13.0,0.0
311,Nanami Kento,Shibuya Incident Peak,12.12,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
312,Thragg,Post-Timeskip (Comics),36.02,Invincible,Post-Resurrections (Comics),36.02,1.0
313,Hashirama Senju,Sage Mode / War Arc,29.59,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
314,Minato Namikaze,Edo Tensei,27.18,Diane,Post-Training / Gideon,51.38,0.0
315,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Gon Freecss,Ryu and Ko,13.0,0.0
316,Tomura Shigaraki,Post-Surgery / Complete,25.77,Thragg,Post-Timeskip (Comics),36.02,0.0
317,Toji Fushiguro,Peak Form,15.12,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
318,Cell,Perfect Form,51.38,Gon Freecss,Ryu and Ko,13.0,1.0
319,Sasuke Uchiha,New Era / Susano'o,34.7,Merlin,Infinity Active,57.8,0.0
320,Merlin,Infinity Active,57.8,Invincible,Post-Resurrections (Comics),36.02,0.0
321,Might Guy,Eight Gates,33.3,Escanor,The One Ultimate,57.8,0.0
322,Geto Suguru,Curse Manipulation / Adult,15.12,Estarossa,Post-Commandment Absorption,51.38,0.0
323,Supreme Deity,Full Power,51.38,Omni-Man,Final Battle Peak (Comics),31.33,1.0
324,Goku,MUI (Perfected Ultra Instinct),97.0,Ban,Post-Purgatory with Snatch,57.8,1.0
325,Feitan Portor,Pain Packer,13.0,Meliodas,True Magic Form,57.8,0.0
326,Naruto Uzumaki,Baryon Mode,51.38,Hulk,Devil Hulk (Comics),94.5,0.0
327,Minato Namikaze,Edo Tensei,27.18,Star and Stripe,New Order Active,24.12,1.0
328,Meruem,Post-Rose / Great King,18.12,Ban,Post-Purgatory with Snatch,57.8,0.0
329,Hisoka Morow,Ryu and Ko,13.0,Supreme Deity,Full Power,51.38,0.0
330,Itachi Uchiha,Edo Tensei,24.12,Estarossa,Post-Commandment Absorption,51.38,0.0
331,Goku,MUI (Perfected Ultra Instinct),97.0,Thor,Rune King Thor (Comics),99.25,0.0
332,Escanor,The One Ultimate,57.8,Estarossa,Post-Commandment Absorption,51.38,1.0
333,Hisoka Morow,Ryu and Ko,13.0,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
334,Escanor,The One Ultimate,57.8,Omni-Man,Final Battle Peak (Comics),31.33,0.0
335,Kurapika,Yorknew City Arc / Emperor Time,12.12,Thragg,Post-Timeskip (Comics),36.02,0.0
336,Ryomen Sukuna,True Form / Full Power,17.02,Merlin,Infinity Active,57.8,0.0
337,Allen the Alien,Second Evolution (Comics),32.9,Atom Eve,Second Resurrection (Comics),31.33,0.0
338,Julius Novachrono,Wizard King Peak,19.94,Lucifero,True Form,27.18,0.0
339,Star and Stripe,New Order Active,24.12,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
340,Naruto Uzumaki,Baryon Mode,51.38,Meliodas,True Magic Form,57.8,0.0
341,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
342,Yami Sukehiro,Death Thrust / Final War,27.18,Homelander,V1 (Comics),8.17,1.0
343,Hashirama Senju,Sage Mode / War Arc,29.59,Isaac Netero,Zero Hand Active,17.02,0.0
344,Frieza,Black Frieza Form,97.0,Estarossa,Post-Commandment Absorption,51.38,1.0
345,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Ban,Post-Purgatory with Snatch,57.8,0.0
346,Obito Uchiha,Jubi Jinchuriki,31.33,King,Full Wings / Form One,57.8,1.0
347,Ryomen Sukuna,True Form / Full Power,17.02,Estarossa,Post-Commandment Absorption,51.38,0.0
