index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1400,Minato Namikaze,Edo Tensei,27.18,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1401,Frieza,Black Frieza Form,97.0,Adult Gon,Adult Form,17.02,1.0
1402,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Homelander,V1 (Comics),8.17,1.0
1403,Krillin,Super Hero Arc / Destructo Disc,97.0,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
1404,Itachi Uchiha,Edo Tensei,24.12,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1405,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Supreme Deity,Full Power,51.38,0.0
1406,Hisoka Morow,Ryu and Ko,13.0,Hulk,Devil Hulk (Comics),94.5,0.0
1407,Goku,MUI (Perfected Ultra Instinct),97.0,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
1408,Lucifero,True Form,27.18,King,Full Wings / Form One,57.8,1.0
1409,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Adult Gon,Adult Form,17.02,1.0
1410,Mahito,True form,12.12,Zeldris,3rd Demon Mark,57.8,0.0
1411,Killua Zoldyck,Godspeed,13.0,Merlin,Infinity Active,57.8,0.0
1412,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Merlin,Infinity Active,57.8,0.0
1413,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1414,Might Guy,Eight Gates,33.3,Minato Namikaze,Edo Tensei,27.18,0.0
1415,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Atom Eve,Second Resurrection (Comics),31.33,0.0
1416,Tomura Shigaraki,Post-Surgery / Complete,25.77,Julius Novachrono,Wizard King Peak,19.94,0.0
1417,Estarossa,Post-Commandment Absorption,51.38,Allen the Alien,Second Evolution (Comics),32.9,0.0
1418,Minato Namikaze,Edo Tensei,27.18,Hulk,Devil Hulk (Comics),94.5,0.0
1419,Toji Fushiguro,Peak Form,15.12,Escanor,The One Ultimate,57.8,0.0
1420,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Julius Novachrono,Wizard King Peak,19.94,1.0
1421,Star and Stripe,New Order Active,24.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1422,Minato Namikaze,Edo Tensei,27.18,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
1423,Sasuke Uchiha,New Era / Susano'o,34.7,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1424,Star and Stripe,New Order Active,24.12,Hulk,Devil Hulk (Comics),94.5,0.0
1425,Star and Stripe,New Order Active,24.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1426,Muzan,True Form,16.92,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,0.0
1427,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Hisoka Morow,Ryu and Ko,13.0,1.0
1428,Nanami Kento,Shibuya Incident Peak,12.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1429,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Homelander,V1 (Comics),8.17,1.0
1430,Might Guy,Eight Gates,33.3,Estarossa,Post-Commandment Absorption,51.38,0.0
1431,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,King,Full Wings / Form One,57.8,1.0
1432,Estarossa,Post-Commandment Absorption,51.38,Battle Beast,Final Battle Peak (Comics),36.02,1.0
1433,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Omni-Man,Final Battle Peak (Comics),31.33,0.0
