index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
100,Piccolo,Orange Form / Super Hero Arc,97.0,Killua Zoldyck,Godspeed,13.0,1.0
101,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Supreme Deity,Full Power,51.38,0.0
102,Ban,Post-Purgatory with Snatch,57.8,Atom Eve,Second Resurrection (Comics),31.33,0.0
103,Shoto Todoroki,Flashfreeze Heatwave,23.04,Isaac Netero,Zero Hand Active,17.02,0.0
104,Sasuke Uchiha,New Era / Susano'o,34.7,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
105,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Gon Freecss,Ryu and Ko,13.0,1.0
106,Cell,Perfect Form,51.38,Hisoka Morow,Ryu and Ko,13.0,1.0
107,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Star and Stripe,New Order Active,24.12,0.0
108,Nanami Kento,Shibuya Incident Peak,12.12,Thor,Rune King Thor (Comics),99.25,0.0
109,Mahito,True form,12.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
110,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Estarossa,Post-Commandment Absorption,51.38,0.0
111,Geto Suguru,Curse Manipulation / Adult,15.12,Battle Beast,Final Battle Peak (Comics),36.02,0.0
112,Minato Namikaze,Edo Tensei,27.18,Cell,Perfect Form,51.38,0.0
113,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
114,Geto Suguru,Curse Manipulation / Adult,15.12,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,0.0
115,Tomura Shigaraki,Post-Surgery / Complete,25.77,Hisoka Morow,Ryu and Ko,13.0,1.0
116,Megumi Fushiguro,Mahoraga,15.12,Gon Freecss,Ryu and Ko,13.0,0.0
117,All Might,Prime,27.18,Julius Novachrono,Wizard King Peak,19.94,0.0
118,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Merlin,Infinity Active,57.8,0.0
119,Geto Suguru,Curse Manipulation / Adult,15.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
120,Gon Freecss,Ryu and Ko,13.0,Atom Eve,Second Resurrection (Comics),31.33,0.0
121,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
122,Killua Zoldyck,Godspeed,13.0,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
123,Tomura Shigaraki,Post-Surgery / Complete,25.77,Allen the Alien,Second Evolution (Comics),32.9,0.0
124,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
125,Asta,Perfect Devil Union / Zetten,31.33,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
126,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
127,Megumi Fushiguro,Mahoraga,15.12,Meliodas,True Magic Form,57.8,0.0
128,Lucifero,True Form,27.18,Meruem,Post-Rose / Great King,18.12,0.0
129,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,0.0
130,Meruem,Post-Rose / Great King,18.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
131,Mahito,True form,12.12,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
132,Minato Namikaze,Edo Tensei,27.18,Thor,Rune King Thor (Comics),99.25,0.0
133,Goku,MUI (Perfected Ultra Instinct),97.0,Hisoka Morow,Ryu and Ko,13.0,1.0
134,Geto Suguru,Curse Manipulation / Adult,15.12,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
135,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Itachi Uchiha,Edo Tensei,24.12,1.0
136,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Merlin,Infinity Active,57.8,0.0
137,Tomura Shigaraki,Post-Surgery / Complete,25.77,Thor,Rune King Thor (Comics),99.25,0.0
138,Toji Fushiguro,Peak Form,15.12,Allen the Alien,Second Evolution (Comics),32.9,0.0
139,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Atom Eve,Second Resurrection (Comics),31.33,0.0
140,Obito Uchiha,Jubi Jinchuriki,31.33,Asta,Perfect Devil Union / Zetten,31.33,0.0
141,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Merlin,Infinity Active,57.8,0.0
142,Killua Zoldyck,Godspeed,13.0,Invincible,Post-Resurrections (Comics),36.02,0.0
143,Nanami Kento,Shibuya Incident Peak,12.12,Hulk,Devil Hulk (Comics),94.5,0.0
144,Mahito,True form,12.12,Sasuke Uchiha,New Era / Susano'o,34.7,0.0
145,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Isaac Netero,Zero Hand Active,17.02,1.0
146,Nanami Kento,Shibuya Incident Peak,12.12,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
147,Toji Fushiguro,Peak Form,15.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
148,Piccolo,Orange Form / Super Hero Arc,97.0,Ban,Post-Purgatory with Snatch,57.8,0.0
149,Muzan,True Form,16.92,Isaac Netero,Zero Hand Active,17.02,0.0
150,Mahito,True form,12.12,Merlin,Infinity Active,57.8,0.0
