index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
2300,Lucifero,True Form,27.18,Supreme Deity,Full Power,51.38,0.0
2301,Satoru Gojo,Shinjuku Showdown Arc,17.02,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
2302,Naruto Uzumaki,Baryon Mode,51.38,Obito Uchiha,Jubi Jinchuriki,31.33,1.0
2303,Hashirama Senju,Sage Mode / War Arc,29.59,Killua Zoldyck,Godspeed,13.0,1.0
2304,Ryomen Sukuna,True Form / Full Power,17.02,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
2305,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Estarossa,Post-Commandment Absorption,51.38,0.0
2306,Gon Freecss,Ryu and Ko,13.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
2307,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Merlin,Infinity Active,57.8,0.0
2308,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
2309,Future Trunks,Sword of Hope / Zamasu Fight,97.0,King,Full Wings / Form One,57.8,1.0
2310,Krillin,Super Hero Arc / Destructo Disc,97.0,Thor,Rune King Thor (Comics),99.25,0.0
2311,Hashirama Senju,Sage Mode / War Arc,29.59,Ban,Post-Purgatory with Snatch,57.8,0.0
2312,Itachi Uchiha,Edo Tensei,24.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
2313,Meliodas,True Magic Form,57.8,Invincible,Post-Resurrections (Comics),36.02,0.0
2314,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Allen the Alien,Second Evolution (Comics),32.9,0.0
2315,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Hisoka Morow,Ryu and Ko,13.0,0.0
2316,All For One,Rewind Drug / Omni-Factor,24.12,Chaos,Primordial Entity,96.0,0.0
2317,Star and Stripe,New Order Active,24.12,Escanor,The One Ultimate,57.8,0.0
2318,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
2319,Naruto Uzumaki,Baryon Mode,51.38,Hashirama Senju,Sage Mode / War Arc,29.59,1.0
2320,Geto Suguru,Curse Manipulation / Adult,15.12,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
2321,Obito Uchiha,Jubi Jinchuriki,31.33,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
2322,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Isaac Netero,Zero Hand Active,17.02,0.0
2323,Gohan,Beast Form / Super Hero Arc,97.0,Julius Novachrono,Wizard King Peak,19.94,1.0
2324,Kurapika,Yorknew City Arc / Emperor Time,12.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2325,Itachi Uchiha,Edo Tensei,24.12,Homelander,V1 (Comics),8.17,0.0
2326,All For One,Rewind Drug / Omni-Factor,24.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
2327,Krillin,Super Hero Arc / Destructo Disc,97.0,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2328,Killua Zoldyck,Godspeed,13.0,Estarossa,Post-Commandment Absorption,51.38,0.0
2329,Satoru Gojo,Shinjuku Showdown Arc,17.02,Geto Suguru,Curse Manipulation / Adult,15.12,1.0
2330,Obito Uchiha,Jubi Jinchuriki,31.33,Itachi Uchiha,Edo Tensei,24.12,1.0
2331,Megumi Fushiguro,Mahoraga,15.12,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
2332,Muzan,True Form,16.92,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
2333,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Frieza,Black Frieza Form,97.0,0.0
2334,Megumi Fushiguro,Mahoraga,15.12,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
2335,Supreme Deity,Full Power,51.38,Atom Eve,Second Resurrection (Comics),31.33,1.0
2336,All For One,Rewind Drug / Omni-Factor,24.12,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
2337,All Might,Prime,27.18,Thragg,Post-Timeskip (Comics),36.02,0.0
2338,Itachi Uchiha,Edo Tensei,24.12,Escanor,The One Ultimate,57.8,0.0
2339,Minato Namikaze,Edo Tensei,27.18,All Might,Prime,27.18,1.0
2340,Hisoka Morow,Ryu and Ko,13.0,Homelander,V1 (Comics),8.17,0.0
2341,Cell,Perfect Form,51.38,Homelander,V1 (Comics),8.17,1.0
2342,Shoto Todoroki,Flashfreeze Heatwave,23.04,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
2343,Toji Fushiguro,Peak Form,15.12,Lucifero,True Form,27.18,0.0
2344,Naruto Uzumaki,Baryon Mode,51.38,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
2345,Piccolo,Orange Form / Super Hero Arc,97.0,Estarossa,Post-Commandment Absorption,51.38,0.0
