index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1100,Asta,Perfect Devil Union / Zetten,31.33,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
1101,Star and Stripe,New Order Active,24.12,Battle Beast,Final Battle Peak (Comics),36.02,1.0
1102,Shoto Todoroki,Flashfreeze Heatwave,23.04,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
1103,Gohan,Beast Form / Super Hero Arc,97.0,Hulk,Devil Hulk (Comics),94.5,1.0
1104,Minato Namikaze,Edo Tensei,27.18,Asta,Perfect Devil Union / Zetten,31.33,0.0
1105,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Thragg,Post-Timeskip (Comics),36.02,0.0
1106,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1107,Hashirama Senju,Sage Mode / War Arc,29.59,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1108,Satoru Gojo,Shinjuku Showdown Arc,17.02,Star and Stripe,New Order Active,24.12,1.0
1109,Hashirama Senju,Sage Mode / War Arc,29.59,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1110,Nanami Kento,Shibuya Incident Peak,12.12,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
1111,Goku,MUI (Perfected Ultra Instinct),97.0,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,1.0
1112,Goku,MUI (Perfected Ultra Instinct),97.0,Krillin,Super Hero Arc / Destructo Disc,97.0,1.0
1113,Toji Fushiguro,Peak Form,15.12,Minato Namikaze,Edo Tensei,27.18,0.0
1114,Toji Fushiguro,Peak Form,15.12,All For One,Rewind Drug / Omni-Factor,24.12,0.0
1115,All For One,Rewind Drug / Omni-Factor,24.12,Tomura Shigaraki,Post-Surgery / Complete,25.77,1.0
1116,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Cell,Perfect Form,51.38,0.0
1117,Lucifero,True Form,27.18,Estarossa,Post-Commandment Absorption,51.38,0.0
1118,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1119,Obito Uchiha,Jubi Jinchuriki,31.33,Isaac Netero,Zero Hand Active,17.02,1.0
1120,Krillin,Super Hero Arc / Destructo Disc,97.0,King,Full Wings / Form One,57.8,0.0
1121,Star and Stripe,New Order Active,24.12,Adult Gon,Adult Form,17.02,0.0
1122,Megumi Fushiguro,Mahoraga,15.12,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,0.0
1123,Kurapika,Yorknew City Arc / Emperor Time,12.12,Thor,Rune King Thor (Comics),99.25,0.0
1124,Sasuke Uchiha,New Era / Susano'o,34.7,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1125,Shoto Todoroki,Flashfreeze Heatwave,23.04,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
1126,Ban,Post-Purgatory with Snatch,57.8,Chaos,Primordial Entity,96.0,0.0
1127,Might Guy,Eight Gates,33.3,Merlin,Infinity Active,57.8,0.0
1128,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Star and Stripe,New Order Active,24.12,1.0
1129,All Might,Prime,27.18,Escanor,The One Ultimate,57.8,0.0
1130,Cell,Perfect Form,51.38,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1131,Mahito,True form,12.12,Diane,Post-Training / Gideon,51.38,0.0
1132,Feitan Portor,Pain Packer,13.0,Meruem,Post-Rose / Great King,18.12,0.0
1133,Minato Namikaze,Edo Tensei,27.18,Chaos,Primordial Entity,96.0,0.0
1134,Killua Zoldyck,Godspeed,13.0,Homelander,V1 (Comics),8.17,0.0
1135,Minato Namikaze,Edo Tensei,27.18,Thragg,Post-Timeskip (Comics),36.02,0.0
1136,Naruto Uzumaki,Baryon Mode,51.38,Frieza,Black Frieza Form,97.0,0.0
1137,Star and Stripe,New Order Active,24.12,Allen the Alien,Second Evolution (Comics),32.9,0.0
1138,All For One,Rewind Drug / Omni-Factor,24.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1139,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Merlin,Infinity Active,57.8,0.0
1140,Adult Gon,Adult Form,17.02,Feitan Portor,Pain Packer,13.0,1.0
1141,Chrollo Lucilfer,Skill Hunter Peak,13.0,Homelander,V1 (Comics),8.17,1.0
1142,Geto Suguru,Curse Manipulation / Adult,15.12,Julius Novachrono,Wizard King Peak,19.94,0.0
1143,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Lucifero,True Form,27.18,0.0
1144,Satoru Gojo,Shinjuku Showdown Arc,17.02,Naruto Uzumaki,Baryon Mode,51.38,0.0
1145,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Estarossa,Post-Commandment Absorption,51.38,1.0
1146,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Atom Eve,Second Resurrection (Comics),31.33,0.0
1147,Minato Namikaze,Edo Tensei,27.18,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1148,Shoto Todoroki,Flashfreeze Heatwave,23.04,Supreme Deity,Full Power,51.38,0.0
1149,Lucifero,True Form,27.18,Gowther,Emotions Restored,51.38,1.0
1150,All Might,Prime,27.18,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
1151,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Chaos,Primordial Entity,96.0,0.0
1152,Satoru Gojo,Shinjuku Showdown Arc,17.02,Escanor,The One Ultimate,57.8,0.0
1153,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1154,Feitan Portor,Pain Packer,13.0,Estarossa,Post-Commandment Absorption,51.38,0.0
1155,Muzan,True Form,16.92,Escanor,The One Ultimate,57.8,0.0
1156,All Might,Prime,27.18,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1157,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Escanor,The One Ultimate,57.8,0.0
1158,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
1159,Naruto Uzumaki,Baryon Mode,51.38,Zeldris,3rd Demon Mark,57.8,1.0
1160,Hisoka Morow,Ryu and Ko,13.0,Atom Eve,Second Resurrection (Comics),31.33,0.0
1161,Naruto Uzumaki,Baryon Mode,51.38,Hisoka Morow,Ryu and Ko,13.0,1.0
1162,Minato Namikaze,Edo Tensei,27.18,Feitan Portor,Pain Packer,13.0,1.0
1163,Krillin,Super Hero Arc / Destructo Disc,97.0,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1164,Shoto Todoroki,Flashfreeze Heatwave,23.04,Gohan,Beast Form / Super Hero Arc,97.0,0.0
1165,Megumi Fushiguro,Mahoraga,15.12,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,0.0
1166,Isaac Netero,Zero Hand Active,17.02,Chaos,Primordial Entity,96.0,0.0
1167,Hashirama Senju,Sage Mode / War Arc,29.59,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
1168,Asta,Perfect Devil Union / Zetten,31.33,Diane,Post-Training / Gideon,51.38,0.0
1169,Gon Freecss,Ryu and Ko,13.0,Invincible,Post-Resurrections (Comics),36.02,0.0
1170,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Frieza,Black Frieza Form,97.0,0.0
1171,Feitan Portor,Pain Packer,13.0,Chaos,Primordial Entity,96.0,0.0
1172,Sasuke Uchiha,New Era / Susano'o,34.7,Homelander,V1 (Comics),8.17,1.0
1173,Cell,Perfect Form,51.38,Omni-Man,Final Battle Peak (Comics),31.33,1.0
1174,Nanami Kento,Shibuya Incident Peak,12.12,Shoto Todoroki,Flashfreeze Heatwave,23.04,1.0
1175,Muzan,True Form,16.92,Homelander,V1 (Comics),8.17,1.0
1176,Geto Suguru,Curse Manipulation / Adult,15.12,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1177,Might Guy,Eight Gates,33.3,Invincible,Post-Resurrections (Comics),36.02,0.0
1178,Piccolo,Orange Form / Super Hero Arc,97.0,Adult Gon,Adult Form,17.02,1.0
1179,Merlin,Infinity Active,57.8,Atom Eve,Second Resurrection (Comics),31.33,1.0
1180,Nanami Kento,Shibuya Incident Peak,12.12,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
1181,All For One,Rewind Drug / Omni-Factor,24.12,Asta,Perfect Devil Union / Zetten,31.33,0.0
1182,Megumi Fushiguro,Mahoraga,15.12,Ban,Post-Purgatory with Snatch,57.8,0.0
1183,Kurapika,Yorknew City Arc / Emperor Time,12.12,Gowther,Emotions Restored,51.38,0.0
1184,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Allen the Alien,Second Evolution (Comics),32.9,0.0
1185,Adult Gon,Adult Form,17.02,Atom Eve,Second Resurrection (Comics),31.33,0.0
1186,All Might,Prime,27.18,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
1187,Adult Gon,Adult Form,17.02,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
1188,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Merlin,Infinity Active,57.8,0.0
1189,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Thragg,Post-Timeskip (Comics),36.02,1.0
1190,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Thor,Rune King Thor (Comics),99.25,0.0
