index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
2000,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Diane,Post-Training / Gideon,51.38,0.0
2001,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Meruem,Post-Rose / Great King,18.12,0.0
2002,Ryomen Sukuna,True Form / Full Power,17.02,Atom Eve,Second Resurrection (Comics),31.33,0.0
2003,Allen the Alien,Second Evolution (Comics),32.9,Hulk,Devil Hulk (Comics),94.5,0.0
2004,Krillin,Super Hero Arc / Destructo Disc,97.0,Gon Freecss,Ryu and Ko,13.0,1.0
2005,Mahito,True form,12.12,Adult Gon,Adult Form,17.02,0.0
2006,Muzan,True Form,16.92,Star and Stripe,New Order Active,24.12,0.0
2007,Ryomen Sukuna,True Form / Full Power,17.02,Allen the Alien,Second Evolution (Comics),32.9,0.0
2008,Goku,MUI (Perfected Ultra Instinct),97.0,Atom Eve,Second Resurrection (Comics),31.33,1.0
2009,Piccolo,Orange Form / Super Hero Arc,97.0,Isaac Netero,Zero Hand Active,17.02,1.0
2010,Naruto Uzumaki,Baryon Mode,51.38,Minato Namikaze,Edo Tensei,27.18,1.0
2011,Tomura Shigaraki,Post-Surgery / Complete,25.77,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2012,Meruem,Post-Rose / Great King,18.12,Battle Beast,Final Battle Peak (Comics),36.02,1.0
2013,Gon Freecss,Ryu and Ko,13.0,Zeldris,3rd Demon Mark,57.8,0.0
2014,Naruto Uzumaki,Baryon Mode,51.38,Gon Freecss,Ryu and Ko,13.0,1.0
2015,Geto Suguru,Curse Manipulation / Adult,15.12,Itachi Uchiha,Edo Tensei,24.12,0.0
2016,Minato Namikaze,Edo Tensei,27.18,Meliodas,True Magic Form,57.8,0.0
2017,Kurapika,Yorknew City Arc / Emperor Time,12.12,Homelander,V1 (Comics),8.17,0.0
2018,Megumi Fushiguro,Mahoraga,15.12,Minato Namikaze,Edo Tensei,27.18,0.0
2019,Mahito,True form,12.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
2020,Itachi Uchiha,Edo Tensei,24.12,Meruem,Post-Rose / Great King,18.12,0.0
2021,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
2022,Tomura Shigaraki,Post-Surgery / Complete,25.77,Killua Zoldyck,Godspeed,13.0,1.0
2023,All For One,Rewind Drug / Omni-Factor,24.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
2024,Megumi Fushiguro,Mahoraga,15.12,Frieza,Black Frieza Form,97.0,0.0
2025,Sasuke Uchiha,New Era / Susano'o,34.7,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
2026,Satoru Gojo,Shinjuku Showdown Arc,17.02,All For One,Rewind Drug / Omni-Factor,24.12,1.0
2027,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Ban,Post-Purgatory with Snatch,57.8,1.0
2028,Shoto Todoroki,Flashfreeze Heatwave,23.04,Star and Stripe,New Order Active,24.12,0.0
2029,Ryomen Sukuna,True Form / Full Power,17.02,Itachi Uchiha,Edo Tensei,24.12,1.0
2030,Chrollo Lucilfer,Skill Hunter Peak,13.0,Escanor,The One Ultimate,57.8,0.0
2031,Hashirama Senju,Sage Mode / War Arc,29.59,King,Full Wings / Form One,57.8,0.0
2032,Star and Stripe,New Order Active,24.12,Julius Novachrono,Wizard King Peak,19.94,1.0
2033,Satoru Gojo,Shinjuku Showdown Arc,17.02,Minato Namikaze,Edo Tensei,27.18,1.0
2034,Megumi Fushiguro,Mahoraga,15.12,Geto Suguru,Curse Manipulation / Adult,15.12,0.0
2035,Feitan Portor,Pain Packer,13.0,Diane,Post-Training / Gideon,51.38,0.0
2036,Escanor,The One Ultimate,57.8,Diane,Post-Training / Gideon,51.38,1.0
2037,Goku,MUI (Perfected Ultra Instinct),97.0,Battle Beast,Final Battle Peak (Comics),36.02,1.0
2038,Shoto Todoroki,Flashfreeze Heatwave,23.04,Cell,Perfect Form,51.38,0.0
2039,Kurapika,Yorknew City Arc / Emperor Time,12.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
2040,Hashirama Senju,Sage Mode / War Arc,29.59,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
2041,Chrollo Lucilfer,Skill Hunter Peak,13.0,Estarossa,Post-Commandment Absorption,51.38,0.0
2042,Obito Uchiha,Jubi Jinchuriki,31.33,Adult Gon,Adult Form,17.02,1.0
2043,Naruto Uzumaki,Baryon Mode,51.38,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
2044,Escanor,The One Ultimate,57.8,King,Full Wings / Form One,57.8,1.0
2045,Krillin,Super Hero Arc / Destructo Disc,97.0,Killua Zoldyck,Godspeed,13.0,1.0
2046,Might Guy,Eight Gates,33.3,Meliodas,True Magic Form,57.8,0.0
2047,Merlin,Infinity Active,57.8,Chaos,Primordial Entity,96.0,0.0
2048,Shoto Todoroki,Flashfreeze Heatwave,23.04,Kurapika,Yorknew City Arc / Emperor Time,12.12,0.0
2049,Ryomen Sukuna,True Form / Full Power,17.02,Escanor,The One Ultimate,57.8,0.0
2050,Hisoka Morow,Ryu and Ko,13.0,Estarossa,Post-Commandment Absorption,51.38,0.0
2051,Omni-Man,Final Battle Peak (Comics),31.33,Atom Eve,Second Resurrection (Comics),31.33,1.0
2052,Sasuke Uchiha,New Era / Susano'o,34.7,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
2053,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Diane,Post-Training / Gideon,51.38,0.0
2054,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2055,Escanor,The One Ultimate,57.8,Zeldris,3rd Demon Mark,57.8,1.0
2056,Julius Novachrono,Wizard King Peak,19.94,Invincible,Post-Resurrections (Comics),36.02,0.0
2057,Yami Sukehiro,Death Thrust / Final War,27.18,Feitan Portor,Pain Packer,13.0,1.0
2058,Frieza,Black Frieza Form,97.0,Chaos,Primordial Entity,96.0,1.0
2059,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Hisoka Morow,Ryu and Ko,13.0,1.0
2060,Mahito,True form,12.12,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
2061,Toji Fushiguro,Peak Form,15.12,Battle Beast,Final Battle Peak (Comics),36.02,0.0
2062,Might Guy,Eight Gates,33.3,Atom Eve,Second Resurrection (Comics),31.33,0.0
2063,Naruto Uzumaki,Baryon Mode,51.38,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2064,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
2065,Chrollo Lucilfer,Skill Hunter Peak,13.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
2066,Asta,Perfect Devil Union / Zetten,31.33,Merlin,Infinity Active,57.8,0.0
2067,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Homelander,V1 (Comics),8.17,0.0
2068,Megumi Fushiguro,Mahoraga,15.12,Naruto Uzumaki,Baryon Mode,51.38,0.0
2069,Nanami Kento,Shibuya Incident Peak,12.12,King,Full Wings / Form One,57.8,0.0
2070,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Gowther,Emotions Restored,51.38,1.0
2071,Geto Suguru,Curse Manipulation / Adult,15.12,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
2072,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Escanor,The One Ultimate,57.8,0.0
2073,Hashirama Senju,Sage Mode / War Arc,29.59,Hulk,Devil Hulk (Comics),94.5,0.0
2074,Naruto Uzumaki,Baryon Mode,51.38,Sasuke Uchiha,New Era / Susano'o,34.7,1.0
2075,Megumi Fushiguro,Mahoraga,15.12,Merlin,Infinity Active,57.8,0.0
2076,Toji Fushiguro,Peak Form,15.12,Might Guy,Eight Gates,33.3,0.0
2077,Megumi Fushiguro,Mahoraga,15.12,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
2078,All Might,Prime,27.18,Hulk,Devil Hulk (Comics),94.5,0.0
2079,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Omni-Man,Final Battle Peak (Comics),31.33,0.0
2080,Mahito,True form,12.12,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
2081,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Invincible,Post-Resurrections (Comics),36.02,0.0
2082,Naruto Uzumaki,Baryon Mode,51.38,Supreme Deity,Full Power,51.38,0.0
2083,Frieza,Black Frieza Form,97.0,Lucifero,True Form,27.18,1.0
2084,Hisoka Morow,Ryu and Ko,13.0,Feitan Portor,Pain Packer,13.0,1.0
2085,Itachi Uchiha,Edo Tensei,24.12,Hisoka Morow,Ryu and Ko,13.0,1.0
2086,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Meruem,Post-Rose / Great King,18.12,1.0
2087,Hisoka Morow,Ryu and Ko,13.0,Thor,Rune King Thor (Comics),99.25,0.0
2088,Goku,MUI (Perfected Ultra Instinct),97.0,Gon Freecss,Ryu and Ko,13.0,1.0
2089,Julius Novachrono,Wizard King Peak,19.94,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
2090,Merlin,Infinity Active,57.8,Supreme Deity,Full Power,51.38,0.0
2091,Yami Sukehiro,Death Thrust / Final War,27.18,Omni-Man,Final Battle Peak (Comics),31.33,0.0
