index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1600,Chaos,Primordial Entity,96.0,Homelander,V1 (Comics),8.17,1.0
1601,Estarossa,Post-Commandment Absorption,51.38,Supreme Deity,Full Power,51.38,0.0
1602,Shoto Todoroki,Flashfreeze Heatwave,23.04,Lucifero,True Form,27.18,0.0
1603,Gon Freecss,Ryu and Ko,13.0,Thor,Rune King Thor (Comics),99.25,0.0
1604,Toji Fushiguro,Peak Form,15.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1605,Sasuke Uchiha,New Era / Susano'o,34.7,Cell,Perfect Form,51.38,0.0
1606,Killua Zoldyck,Godspeed,13.0,Thragg,Post-Timeskip (Comics),36.02,0.0
1607,Geto Suguru,Curse Manipulation / Adult,15.12,Asta,Perfect Devil Union / Zetten,31.33,0.0
1608,Isaac Netero,Zero Hand Active,17.02,Thragg,Post-Timeskip (Comics),36.02,0.0
1609,Minato Namikaze,Edo Tensei,27.18,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1610,Toji Fushiguro,Peak Form,15.12,Thor,Rune King Thor (Comics),99.25,0.0
1611,Sasuke Uchiha,New Era / Susano'o,34.7,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
1612,Shoto Todoroki,Flashfreeze Heatwave,23.04,Feitan Portor,Pain Packer,13.0,0.0
1613,Meliodas,True Magic Form,57.8,King,Full Wings / Form One,57.8,1.0
1614,King,Full Wings / Form One,57.8,Thragg,Post-Timeskip (Comics),36.02,0.0
1615,Megumi Fushiguro,Mahoraga,15.12,Muzan,True Form,16.92,0.0
1616,Ryomen Sukuna,True Form / Full Power,17.02,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
1617,Toji Fushiguro,Peak Form,15.12,Naruto Uzumaki,Baryon Mode,51.38,0.0
1618,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Zeldris,3rd Demon Mark,57.8,0.0
1619,Obito Uchiha,Jubi Jinchuriki,31.33,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
1620,Meruem,Post-Rose / Great King,18.12,Merlin,Infinity Active,57.8,0.0
1621,Yami Sukehiro,Death Thrust / Final War,27.18,Lucifero,True Form,27.18,0.0
1622,Megumi Fushiguro,Mahoraga,15.12,Nanami Kento,Shibuya Incident Peak,12.12,1.0
1623,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1624,Minato Namikaze,Edo Tensei,27.18,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1625,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Cell,Perfect Form,51.38,0.0
1626,Gohan,Beast Form / Super Hero Arc,97.0,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
1627,Cell,Perfect Form,51.38,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
1628,Gowther,Emotions Restored,51.38,Allen the Alien,Second Evolution (Comics),32.9,0.0
1629,Mahito,True form,12.12,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1630,Hashirama Senju,Sage Mode / War Arc,29.59,Diane,Post-Training / Gideon,51.38,0.0
1631,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
1632,Chrollo Lucilfer,Skill Hunter Peak,13.0,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1633,Hashirama Senju,Sage Mode / War Arc,29.59,Homelander,V1 (Comics),8.17,1.0
1634,Minato Namikaze,Edo Tensei,27.18,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1635,Naruto Uzumaki,Baryon Mode,51.38,All Might,Prime,27.18,1.0
1636,Muzan,True Form,16.92,Merlin,Infinity Active,57.8,0.0
1637,Naruto Uzumaki,Baryon Mode,51.38,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
1638,Kurapika,Yorknew City Arc / Emperor Time,12.12,Estarossa,Post-Commandment Absorption,51.38,0.0
1639,Toji Fushiguro,Peak Form,15.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
1640,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
1641,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,All For One,Rewind Drug / Omni-Factor,24.12,1.0
1642,All Might,Prime,27.18,Lucifero,True Form,27.18,0.0
1643,Minato Namikaze,Edo Tensei,27.18,Zeldris,3rd Demon Mark,57.8,0.0
1644,Nanami Kento,Shibuya Incident Peak,12.12,Allen the Alien,Second Evolution (Comics),32.9,0.0
1645,Frieza,Black Frieza Form,97.0,King,Full Wings / Form One,57.8,1.0
1646,Muzan,True Form,16.92,Meruem,Post-Rose / Great King,18.12,0.0
1647,Sasuke Uchiha,New Era / Susano'o,34.7,All Might,Prime,27.18,1.0
1648,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Meruem,Post-Rose / Great King,18.12,0.0
1649,Killua Zoldyck,Godspeed,13.0,Zeldris,3rd Demon Mark,57.8,0.0
1650,Ryomen Sukuna,True Form / Full Power,17.02,Star and Stripe,New Order Active,24.12,1.0
1651,Feitan Portor,Pain Packer,13.0,Ban,Post-Purgatory with Snatch,57.8,0.0
1652,Meruem,Post-Rose / Great King,18.12,Escanor,The One Ultimate,57.8,0.0
1653,Muzan,True Form,16.92,Lucifero,True Form,27.18,0.0
1654,All Might,Prime,27.18,Cell,Perfect Form,51.38,0.0
1655,Julius Novachrono,Wizard King Peak,19.94,Isaac Netero,Zero Hand Active,17.02,1.0
1656,Adult Gon,Adult Form,17.02,Hisoka Morow,Ryu and Ko,13.0,0.0
1657,Nanami Kento,Shibuya Incident Peak,12.12,All Might,Prime,27.18,1.0
1658,Muzan,True Form,16.92,King,Full Wings / Form One,57.8,0.0
1659,Star and Stripe,New Order Active,24.12,Meruem,Post-Rose / Great King,18.12,0.0
1660,Estarossa,Post-Commandment Absorption,51.38,Thragg,Post-Timeskip (Comics),36.02,0.0
1661,All For One,Rewind Drug / Omni-Factor,24.12,Killua Zoldyck,Godspeed,13.0,1.0
1662,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Julius Novachrono,Wizard King Peak,19.94,0.0
1663,Ryomen Sukuna,True Form / Full Power,17.02,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
1664,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Killua Zoldyck,Godspeed,13.0,1.0
1665,Merlin,Infinity Active,57.8,King,Full Wings / Form One,57.8,1.0
