index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
600,Shoto Todoroki,Flashfreeze Heatwave,23.04,Invincible,Post-Resurrections (Comics),36.02,0.0
601,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Julius Novachrono,Wizard King Peak,19.94,0.0
602,Hashirama Senju,Sage Mode / War Arc,29.59,Estarossa,Post-Commandment Absorption,51.38,0.0
603,Geto Suguru,Curse Manipulation / Adult,15.12,King,Full Wings / Form One,57.8,0.0
604,Yami Sukehiro,Death Thrust / Final War,27.18,Julius Novachrono,Wizard King Peak,19.94,0.0
605,Julius Novachrono,Wizard King Peak,19.94,Estarossa,Post-Commandment Absorption,51.38,0.0
606,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Hulk,Devil Hulk (Comics),94.5,0.0
607,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Sasuke Uchiha,New Era / Susano'o,34.7,0.0
608,Piccolo,Orange Form / Super Hero Arc,97.0,Feitan Portor,Pain Packer,13.0,1.0
609,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Diane,Post-Training / Gideon,51.38,1.0
610,Mahito,True form,12.12,Itachi Uchiha,Edo Tensei,24.12,0.0
611,Hashirama Senju,Sage Mode / War Arc,29.59,Star and Stripe,New Order Active,24.12,1.0
612,Nanami Kento,Shibuya Incident Peak,12.12,Hisoka Morow,Ryu and Ko,13.0,0.0
613,Merlin,Infinity Active,57.8,Zeldris,3rd Demon Mark,57.8,1.0
614,King,Full Wings / Form One,57.8,Estarossa,Post-Commandment Absorption,51.38,0.0
615,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Allen the Alien,Second Evolution (Comics),32.9,0.0
616,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Obito Uchiha,Jubi Jinchuriki,31.33,1.0
617,Muzan,True Form,16.92,Supreme Deity,Full Power,51.38,0.0
618,Gon Freecss,Ryu and Ko,13.0,Merlin,Infinity Active,57.8,0.0
619,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Adult Gon,Adult Form,17.02,1.0
620,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Gon Freecss,Ryu and Ko,13.0,1.0
621,Might Guy,Eight Gates,33.3,Adult Gon,Adult Form,17.02,1.0
622,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Ban,Post-Purgatory with Snatch,57.8,1.0
623,Gohan,Beast Form / Super Hero Arc,97.0,Cell,Perfect Form,51.38,1.0
624,Goku,MUI (Perfected Ultra Instinct),97.0,Lucifero,True Form,27.18,1.0
625,Gohan,Beast Form / Super Hero Arc,97.0,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
626,Asta,Perfect Devil Union / Zetten,31.33,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
627,Nanami Kento,Shibuya Incident Peak,12.12,Muzan,True Form,16.92,0.0
628,Naruto Uzumaki,Baryon Mode,51.38,Meruem,Post-Rose / Great King,18.12,0.0
629,Cell,Perfect Form,51.38,Merlin,Infinity Active,57.8,1.0
630,Goku,MUI (Perfected Ultra Instinct),97.0,Piccolo,Orange Form / Super Hero Arc,97.0,1.0
631,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Gon Freecss,Ryu and Ko,13.0,1.0
632,Mahito,True form,12.12,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
633,Obito Uchiha,Jubi Jinchuriki,31.33,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
634,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Lucifero,True Form,27.18,1.0
635,Julius Novachrono,Wizard King Peak,19.94,Supreme Deity,Full Power,51.38,0.0
636,Megumi Fushiguro,Mahoraga,15.12,Star and Stripe,New Order Active,24.12,0.0
637,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
638,Geto Suguru,Curse Manipulation / Adult,15.12,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
639,Tomura Shigaraki,Post-Surgery / Complete,25.77,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
640,Meliodas,True Magic Form,57.8,Battle Beast,Final Battle Peak (Comics),36.02,0.0
641,Megumi Fushiguro,Mahoraga,15.12,Escanor,The One Ultimate,57.8,0.0
642,All Might,Prime,27.18,King,Full Wings / Form One,57.8,0.0
643,Satoru Gojo,Shinjuku Showdown Arc,17.02,King,Full Wings / Form One,57.8,1.0
644,Julius Novachrono,Wizard King Peak,19.94,King,Full Wings / Form One,57.8,0.0
645,Meliodas,True Magic Form,57.8,Merlin,Infinity Active,57.8,0.0
