index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
800,Ryomen Sukuna,True Form / Full Power,17.02,Muzan,True Form,16.92,1.0
801,Frieza,Black Frieza Form,97.0,Homelander,V1 (Comics),8.17,1.0
802,Adult Gon,Adult Form,17.02,Thor,Rune King Thor (Comics),99.25,0.0
803,Sasuke Uchiha,New Era / Susano'o,34.7,Invincible,Post-Resurrections (Comics),36.02,0.0
804,Hisoka Morow,Ryu and Ko,13.0,Escanor,The One Ultimate,57.8,0.0
805,Zeldris,3rd Demon Mark,57.8,Chaos,Primordial Entity,96.0,0.0
806,Ryomen Sukuna,True Form / Full Power,17.02,Gowther,Emotions Restored,51.38,0.0
807,Ryomen Sukuna,True Form / Full Power,17.02,Megumi Fushiguro,Mahoraga,15.12,1.0
808,Julius Novachrono,Wizard King Peak,19.94,Meruem,Post-Rose / Great King,18.12,0.0
809,Satoru Gojo,Shinjuku Showdown Arc,17.02,Supreme Deity,Full Power,51.38,0.0
810,Meruem,Post-Rose / Great King,18.12,Thor,Rune King Thor (Comics),99.25,0.0
811,Might Guy,Eight Gates,33.3,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
812,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
813,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
814,Toji Fushiguro,Peak Form,15.12,Killua Zoldyck,Godspeed,13.0,1.0
815,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Itachi Uchiha,Edo Tensei,24.12,1.0
816,Minato Namikaze,Edo Tensei,27.18,Ban,Post-Purgatory with Snatch,57.8,0.0
817,Tomura Shigaraki,Post-Surgery / Complete,25.77,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
818,Sasuke Uchiha,New Era / Susano'o,34.7,Atom Eve,Second Resurrection (Comics),31.33,0.0
819,Katsuki Bakugo,Cluster / Plus Ultra,23.04,King,Full Wings / Form One,57.8,0.0
820,Tomura Shigaraki,Post-Surgery / Complete,25.77,Frieza,Black Frieza Form,97.0,0.0
821,Ryomen Sukuna,True Form / Full Power,17.02,Omni-Man,Final Battle Peak (Comics),31.33,0.0
822,Piccolo,Orange Form / Super Hero Arc,97.0,Meliodas,True Magic Form,57.8,1.0
823,Meruem,Post-Rose / Great King,18.12,Chaos,Primordial Entity,96.0,0.0
824,Obito Uchiha,Jubi Jinchuriki,31.33,Gohan,Beast Form / Super Hero Arc,97.0,0.0
825,Adult Gon,Adult Form,17.02,Gowther,Emotions Restored,51.38,0.0
826,Goku,MUI (Perfected Ultra Instinct),97.0,Hulk,Devil Hulk (Comics),94.5,1.0
827,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Zeldris,3rd Demon Mark,57.8,1.0
828,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Meruem,Post-Rose / Great King,18.12,0.0
829,Nanami Kento,Shibuya Incident Peak,12.12,Estarossa,Post-Commandment Absorption,51.38,0.0
830,Minato Namikaze,Edo Tensei,27.18,Hisoka Morow,Ryu and Ko,13.0,1.0
831,All For One,Rewind Drug / Omni-Factor,24.12,Gon Freecss,Ryu and Ko,13.0,0.0
832,Ryomen Sukuna,True Form / Full Power,17.02,Sasuke Uchiha,New Era / Susano'o,34.7,1.0
833,Megumi Fushiguro,Mahoraga,15.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
834,Krillin,Super Hero Arc / Destructo Disc,97.0,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
835,Cell,Perfect Form,51.38,Estarossa,Post-Commandment Absorption,51.38,1.0
836,Toji Fushiguro,Peak Form,15.12,Sasuke Uchiha,New Era / Susano'o,34.7,0.0
837,Itachi Uchiha,Edo Tensei,24.12,All Might,Prime,27.18,0.0
838,Gohan,Beast Form / Super Hero Arc,97.0,Chaos,Primordial Entity,96.0,1.0
839,Ryomen Sukuna,True Form / Full Power,17.02,Gon Freecss,Ryu and Ko,13.0,1.0
840,Yami Sukehiro,Death Thrust / Final War,27.18,Merlin,Infinity Active,57.8,0.0
841,Gohan,Beast Form / Super Hero Arc,97.0,Isaac Netero,Zero Hand Active,17.02,1.0
842,Nanami Kento,Shibuya Incident Peak,12.12,Ban,Post-Purgatory with Snatch,57.8,0.0
