index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
1900,Cell,Perfect Form,51.38,Zeldris,3rd Demon Mark,57.8,1.0
1901,Julius Novachrono,Wizard King Peak,19.94,Allen the Alien,Second Evolution (Comics),32.9,0.0
1902,Goku,MUI (Perfected Ultra Instinct),97.0,Thragg,Post-Timeskip (Comics),36.02,1.0
1903,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Supreme Deity,Full Power,51.38,1.0
1904,Mahito,True form,12.12,Escanor,The One Ultimate,57.8,0.0
1905,Itachi Uchiha,Edo Tensei,24.12,Merlin,Infinity Active,57.8,0.0
1906,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Star and Stripe,New Order Active,24.12,0.0
1907,Gon Freecss,Ryu and Ko,13.0,Adult Gon,Adult Form,17.02,0.0
1908,Ryomen Sukuna,True Form / Full Power,17.02,Frieza,Black Frieza Form,97.0,0.0
1909,Supreme Deity,Full Power,51.38,Allen the Alien,Second Evolution (Comics),32.9,1.0
1910,All For One,Rewind Drug / Omni-Factor,24.12,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
1911,Yami Sukehiro,Death Thrust / Final War,27.18,Zeldris,3rd Demon Mark,57.8,0.0
1912,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Asta,Perfect Devil Union / Zetten,31.33,0.0
1913,Gon Freecss,Ryu and Ko,13.0,King,Full Wings / Form One,57.8,0.0
1914,Satoru Gojo,Shinjuku Showdown Arc,17.02,Thor,Rune King Thor (Comics),99.25,0.0
1915,Star and Stripe,New Order Active,24.12,Killua Zoldyck,Godspeed,13.0,1.0
1916,Lucifero,True Form,27.18,Thragg,Post-Timeskip (Comics),36.02,0.0
1917,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Supreme Deity,Full Power,51.38,0.0
1918,Geto Suguru,Curse Manipulation / Adult,15.12,Gowther,Emotions Restored,51.38,0.0
1919,Yami Sukehiro,Death Thrust / Final War,27.18,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1920,Naruto Uzumaki,Baryon Mode,51.38,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
1921,Gowther,Emotions Restored,51.38,Battle Beast,Final Battle Peak (Comics),36.02,1.0
1922,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
1923,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Cell,Perfect Form,51.38,1.0
1924,Lucifero,True Form,27.18,Zeldris,3rd Demon Mark,57.8,1.0
1925,Hashirama Senju,Sage Mode / War Arc,29.59,Meliodas,True Magic Form,57.8,0.0
1926,Asta,Perfect Devil Union / Zetten,31.33,Julius Novachrono,Wizard King Peak,19.94,0.0
1927,Feitan Portor,Pain Packer,13.0,Atom Eve,Second Resurrection (Comics),31.33,0.0
1928,Merlin,Infinity Active,57.8,Ban,Post-Purgatory with Snatch,57.8,1.0
1929,Minato Namikaze,Edo Tensei,27.18,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1930,Naruto Uzumaki,Baryon Mode,51.38,Star and Stripe,New Order Active,24.12,1.0
1931,Sasuke Uchiha,New Era / Susano'o,34.7,Hulk,Devil Hulk (Comics),94.5,0.0
1932,Cell,Perfect Form,51.38,Lucifero,True Form,27.18,1.0
1933,Hashirama Senju,Sage Mode / War Arc,29.59,Adult Gon,Adult Form,17.02,1.0
1934,Adult Gon,Adult Form,17.02,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1935,Tomura Shigaraki,Post-Surgery / Complete,25.77,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1936,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1937,All Might,Prime,27.18,Asta,Perfect Devil Union / Zetten,31.33,0.0
1938,Hisoka Morow,Ryu and Ko,13.0,Omni-Man,Final Battle Peak (Comics),31.33,0.0
1939,Asta,Perfect Devil Union / Zetten,31.33,Meliodas,True Magic Form,57.8,0.0
1940,Megumi Fushiguro,Mahoraga,15.12,Killua Zoldyck,Godspeed,13.0,1.0
1941,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Invincible,Post-Resurrections (Comics),36.02,0.0
1942,Naruto Uzumaki,Baryon Mode,51.38,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,1.0
1943,Toji Fushiguro,Peak Form,15.12,Cell,Perfect Form,51.38,0.0
1944,Gowther,Emotions Restored,51.38,Atom Eve,Second Resurrection (Comics),31.33,0.0
1945,Isaac Netero,Zero Hand Active,17.02,Homelander,V1 (Comics),8.17,1.0
1946,Frieza,Black Frieza Form,97.0,Ban,Post-Purgatory with Snatch,57.8,1.0
1947,Hisoka Morow,Ryu and Ko,13.0,Isaac Netero,Zero Hand Active,17.02,0.0
1948,Merlin,Infinity Active,57.8,Diane,Post-Training / Gideon,51.38,1.0
1949,Might Guy,Eight Gates,33.3,Ban,Post-Purgatory with Snatch,57.8,0.0
1950,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1951,Sasuke Uchiha,New Era / Susano'o,34.7,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
1952,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Minato Namikaze,Edo Tensei,27.18,1.0
1953,All For One,Rewind Drug / Omni-Factor,24.12,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
1954,Shoto Todoroki,Flashfreeze Heatwave,23.04,Meruem,Post-Rose / Great King,18.12,0.0
1955,Geto Suguru,Curse Manipulation / Adult,15.12,Nanami Kento,Shibuya Incident Peak,12.12,1.0
1956,Naruto Uzumaki,Baryon Mode,51.38,Thragg,Post-Timeskip (Comics),36.02,0.0
1957,Ryomen Sukuna,True Form / Full Power,17.02,Thragg,Post-Timeskip (Comics),36.02,0.0
1958,Piccolo,Orange Form / Super Hero Arc,97.0,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
1959,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Atom Eve,Second Resurrection (Comics),31.33,0.0
1960,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Minato Namikaze,Edo Tensei,27.18,1.0
1961,Future Trunks,Sword of Hope / Zamasu Fight,97.0,Killua Zoldyck,Godspeed,13.0,1.0
1962,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Asta,Perfect Devil Union / Zetten,31.33,0.0
1963,Muzan,True Form,16.92,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
1964,Gohan,Beast Form / Super Hero Arc,97.0,Diane,Post-Training / Gideon,51.38,1.0
1965,Meliodas,True Magic Form,57.8,Gowther,Emotions Restored,51.38,1.0
1966,Feitan Portor,Pain Packer,13.0,Hulk,Devil Hulk (Comics),94.5,0.0
1967,Satoru Gojo,Shinjuku Showdown Arc,17.02,Frieza,Black Frieza Form,97.0,0.0
1968,All Might,Prime,27.18,Supreme Deity,Full Power,51.38,0.0
1969,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Cell,Perfect Form,51.38,0.0
1970,Asta,Perfect Devil Union / Zetten,31.33,Thor,Rune King Thor (Comics),99.25,0.0
1971,Asta,Perfect Devil Union / Zetten,31.33,Zeldris,3rd Demon Mark,57.8,0.0
1972,Piccolo,Orange Form / Super Hero Arc,97.0,Escanor,The One Ultimate,57.8,0.0
1973,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
1974,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Hisoka Morow,Ryu and Ko,13.0,0.0
1975,Merlin,Infinity Active,57.8,Estarossa,Post-Commandment Absorption,51.38,1.0
1976,Ryomen Sukuna,True Form / Full Power,17.02,Diane,Post-Training / Gideon,51.38,1.0
1977,Tomura Shigaraki,Post-Surgery / Complete,25.77,Battle Beast,Final Battle Peak (Comics),36.02,0.0
1978,Satoru Gojo,Shinjuku Showdown Arc,17.02,Omni-Man,Final Battle Peak (Comics),31.33,1.0
1979,Megumi Fushiguro,Mahoraga,15.12,Thragg,Post-Timeskip (Comics),36.02,0.0
1980,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Escanor,The One Ultimate,57.8,0.0
1981,Goku,MUI (Perfected Ultra Instinct),97.0,King,Full Wings / Form One,57.8,1.0
1982,Goku,MUI (Perfected Ultra Instinct),97.0,Adult Gon,Adult Form,17.02,1.0
1983,Star and Stripe,New Order Active,24.12,Feitan Portor,Pain Packer,13.0,1.0
1984,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Hashirama Senju,Sage Mode / War Arc,29.59,1.0
1985,Gohan,Beast Form / Super Hero Arc,97.0,Estarossa,Post-Commandment Absorption,51.38,1.0
1986,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,Isaac Netero,Zero Hand Active,17.02,1.0
1987,Frieza,Black Frieza Form,97.0,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
1988,Toji Fushiguro,Peak Form,15.12,Muzan,True Form,16.92,1.0
1989,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,All Might,Prime,27.18,1.0
1990,Muzan,True Form,16.92,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
1991,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Hulk,Devil Hulk (Comics),94.5,0.0
1992,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Meruem,Post-Rose / Great King,18.12,0.0
1993,Gon Freecss,Ryu and Ko,13.0,Hisoka Morow,Ryu and Ko,13.0,0.0
1994,King,Full Wings / Form One,57.8,Diane,Post-Training / Gideon,51.38,0.0
1995,Ban,Post-Purgatory with Snatch,57.8,Zeldris,3rd Demon Mark,57.8,1.0
1996,Naruto Uzumaki,Baryon Mode,51.38,Escanor,The One Ultimate,57.8,0.0
1997,Nanami Kento,Shibuya Incident Peak,12.12,Star and Stripe,New Order Active,24.12,0.0
1998,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Cell,Perfect Form,51.38,0.0
1999,Feitan Portor,Pain Packer,13.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
