index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
0,Shoto Todoroki,Flashfreeze Heatwave,23.04,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
1,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
2,Julius Novachrono,Wizard King Peak,19.94,Thragg,Post-Timeskip (Comics),36.02,0.0
3,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Vegeta,Ultra Ego / Granolah Arc Peak,97.0,0.0
4,Nanami Kento,Shibuya Incident Peak,12.12,Cell,Perfect Form,51.38,0.0
5,Kurapika,Yorknew City Arc / Emperor Time,12.12,Chaos,Primordial Entity,96.0,0.0
6,Satoru Gojo,Shinjuku Showdown Arc,17.02,Ryomen Sukuna,True Form / Full Power,17.02,0.0
7,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Obito Uchiha,Jubi Jinchuriki,31.33,0.0
8,Hashirama Senju,Sage Mode / War Arc,29.59,Future Trunks,Sword of Hope / Zamasu Fight,97.0,0.0
9,Geto Suguru,Curse Manipulation / Adult,15.12,Tomura Shigaraki,Post-Surgery / Complete,25.77,0.0
10,Gohan,Beast Form / Super Hero Arc,97.0,Thor,Rune King Thor (Comics),99.25,0.0
11,Ryomen Sukuna,True Form / Full Power,17.02,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
12,Naruto Uzumaki,Baryon Mode,51.38,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
13,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Homelander,V1 (Comics),8.17,1.0
14,Itachi Uchiha,Edo Tensei,24.12,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
15,Star and Stripe,New Order Active,24.12,Frieza,Black Frieza Form,97.0,0.0
16,Supreme Deity,Full Power,51.38,Hulk,Devil Hulk (Comics),94.5,1.0
17,Meruem,Post-Rose / Great King,18.12,Omni-Man,Final Battle Peak (Comics),31.33,0.0
18,Killua Zoldyck,Godspeed,13.0,Omni-Man,Final Battle Peak (Comics),31.33,0.0
19,Cell,Perfect Form,51.38,Meliodas,True Magic Form,57.8,1.0
20,Frieza,Black Frieza Form,97.0,Zeldris,3rd Demon Mark,57.8,1.0
21,Yami Sukehiro,Death Thrust / Final War,27.18,Chaos,Primordial Entity,96.0,0.0
22,Toji Fushiguro,Peak Form,15.12,Meliodas,True Magic Form,57.8,0.0
23,Minato Namikaze,Edo Tensei,27.18,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
24,Diane,Post-Training / Gideon,51.38,Estarossa,Post-Commandment Absorption,51.38,0.0
25,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Toji Fushiguro,Peak Form,15.12,1.0
26,Cell,Perfect Form,51.38,Yami Sukehiro,Death Thrust / Final War,27.18,1.0
27,Cell,Perfect Form,51.38,Battle Beast,Final Battle Peak (Comics),36.02,1.0
28,Megumi Fushiguro,Mahoraga,15.12,All For One,Rewind Drug / Omni-Factor,24.12,0.0
29,Mahito,True form,12.12,Feitan Portor,Pain Packer,13.0,1.0
30,Obito Uchiha,Jubi Jinchuriki,31.33,Minato Namikaze,Edo Tensei,27.18,1.0
31,Megumi Fushiguro,Mahoraga,15.12,Homelander,V1 (Comics),8.17,1.0
32,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
